,Unnamed: 0,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
21,21,Love in Sadness,['melodrama'],MBC,"The drama is described as being the story of a romance with life and death consequences. The main leads are a woman who is being chased, a man who is chasing after her, and the man who helps to hide her from her chaser. There will be perilous pursuits, secret desires, and social commentary.Seo Jung Won (Ji Hyun Woo) is a plastic surgeon. He is a good person, smart and handsome. He falls in love with Yoon Ma Ri (Park Han Byul). Yoon Ma Ri is an artist and the daughter-in-law of a chaebol family. Her marriage life is miserable. Her husband Kang In Wook (Ryu Soo Young) looks like a perfect husband, but he is obsessed with Yoon Ma Ri and violent towards her. Yoon Ma Ri decides to escape from her obsessive husband. She then meets Seo Jung Won and falls in love with him.",2019.0,6.8,,5.0,,"Hyun-Woo Ji, Won-joong Jung, Ye-ryeong Kim, Yoon-joo Kim"
22,22,The Fiery Priest,"['comedy', 'crime']",SBS,"This drama is about Kim Hae Il (Kim Nam Gil) who is a priest with anger issues, Goo Dae Young (Kim Sung Kyun) who is a Gudam police detective, and Park Kyung Sun (Lee Ha Nui) who is a prosecutor. They join and work together to find the killer of a priest.",2019.0,8.0,,23.0,35 min,"Ji-won Baek, Joon Go, Lee Hanee, Sung-woo Jeon"
23,23,"I Hate You, Juliet!",['romantic'],Oksusu,"This drama tells the story of a man who gets the power to hear her voice and a woman who learns that her thoughts get shared with him.After an electric shock, a top celebrity (Lee Hong Ki) is suddenly able to hear a script-writer’s (Jung Hye Sung) thoughts. Knowing her true thoughts and feelings, he finds himself falling madly in love with her! But when he loses his ability to read her mind, would he still be able to win her heart?",2019.0,,,,,"Woong Choi, Hye-Seong Jung, Hong-ki Lee"
24,24,Haechi,"['historical', 'action']",SBS,"Set during the Joseon Dynasty period, the series follows three people from different walks of life who came together to help Prince Lee Geum (Jung Il Woo) claim the throne and reform the Saheonbu.",2019.0,8.8,,32.0,,"Ara Go, Sang-jin Han, Park Hoon, Il-Woo Jung"
25,25,Item,"['crime', 'mystery', 'fantasy']",MBC,"This drama is based on the popular webtoon of the same name, written by “민형 / Min Hyung” and illustrated by “김준석 / Kim Joon Suk” which was first published from 2017-March-26 via “kakao.com“.It’s about a profiler and a prosecutor must uncover a conspiracy and the hidden secrets surrounding unique items with supernatural powers.",2019.0,7.2,,39.0,35 min,"Kim Do-Hyun, Se-Yeon Jin, Ji-Hoon Ju, Lee Jung-Hyun"
26,26,Dazzling,"['romantic', 'fantasy']",jTBC,"This drama is about a woman who loses all her time before she can use it up and a man who gives up all of his radiant moments and lives a lethargic life.Kim Hye Ja (Han Ji Min) hopes to become an announcer. She is honest and has a positive personality, but she suddenly becomes a 70-year-old woman. 70-year-old Kim Hye Ja (Kim Hye Ja) gains the special ability to manipulate time. Meanwhile, Lee Joon Ha (Nam Joo Hyuk) wants to become a reporter. He has worked hard to achieve his dream, but he now lives his life hopelessly. He gets involved with Kim Hye Ja.",,,,,,
27,27,Trap,"['thriller', 'mystery']",OCN,"Kang Woo Hyun (Lee Seo Jin) is a respected anchor at a broadcasting station. He is a devout and happy father, who enjoys being surrounded by his charming family. He decides to try his luck in politics. One day, on a trip he makes with his family, a tragic incident happens. Meanwhile, Go Dong Kook (Sung Dong Il), a veteran detective, who doesn’t stop at anything until a case is solved, decides to take the case of Kang Woo Hyun and sets out to investigate what lies behind the tragic incident.",2016.0,7.5,,1706.0,,"Hae-Jin Park, Go-eun Kim, Kang-Joon Seo, Song-Kyoung Lee"
28,28,Legal High,"['law', 'comedy']",jTBC,"This drama is remake of 2012 Fuji TV drama series “Legal High” which is starring by Masato Sakai and Yui Aragaki.It’s about a caustic, money-loving lawyer who will do anything to win, and a passionate rookie lawyer with a strong sense of justice.Go Tae Rim (Jin Goo) is a lawyer. He is arrogant and makes biting remarks, but he has a 100% winning rate. He can’t even imagine ever losing a case and winning cases is the most important thing to him. His attorney’s fee is obscenely high. Meanwhile, Seo Jae In (Seo Eun Soo) is a passionate rookie lawyer. She wants to help clients trapped in unfair situations. However, he realizes that lawyers who do not win cases are useless and she then decides to work with Go Tae Rim.",2019.0,7.5,,31.0,,"Yoon Bak, Jeong-an Chae, Yoo-sang Jang, Goo Jin"
29,29,Rude Miss Young Ae (Season 17),['comedy'],tvN,"Now married to Lee Seung Joon (Lee Seung Joon), Lee Young Ae (Kim Hyun Sook) struggles to raise her baby as a working mother.",2007.0,,,,,"Won Joon Choi, Jung Da Hye, Seo Yeon Im, Hyun-sook Kim"
30,30,Touch Your Heart,"['law', 'comedy', 'romantic']",tvN,"This drama is based on a web novel “Jinsimi Dadda” by “예거 / Yegeo”, which was published from 2016-Dec-23 to 2017-Oct-11 via “kakaopage“.It will be centered around the romance between a successful lawyer, Kwon Jung Rok (Lee Dong Wook) and his secretary, Oh Jin Shim / Oh Yoon Seo (Yoo In Na). The secretary is a disgraced former Hallyu actress, who is actually in disguise after being caught in a tabloid scandal with a third generation chaebol. She desperately wants the lead role in a writer’s drama for her work as a secretary in disguise.",2019.0,8.0,,228.0,60 min,"Dong-Wook Lee, Sang-woo Lee, So-yeon Jang, Joon-Hyuk Lee"
31,31,Babel,"['law', 'mystery']",CSTV,"This drama is about a prosecutor who started his career as a reporter for a newspaper faces a life-changing event when his father dies in an unexplained accident, and his mother takes her own life. With his life shattered in pieces, he won’t stop at anything to uncover what happened and to get revenge.",2019.0,7.2,,17.0,,"Hie-jin Jang, Shin-yeong Jang, Park Joo-Hyung, Hae-sook Kim"
32,32,Romance Is a Bonus Book,"['comedy', 'romantic']",tvN,"This drama is about the love story between two people in their 30’s, who work in the world of publishing.Cha Eun Ho (Lee Jong Suk) is a genius writer and the youngest chief editor ever at his publishing company. He is smart and handsome. He is also even tempered at work, but he has a warm heart and a reasonable personality.Meanwhile, Kang Dan Yi (Lee Na Young) used to be a popular copywriter, but she is not anymore. She is now broke and unemployed. Even though she tries to find a job, due to her impressive career and excellent educational background, she is unable to find a new job. Finally, Kang Dan Yi gets a job by lying about her background at a publishing company where Cha Eun Ho work as chief editor. They begin to develop romantic feelings for each other.",2019.0,8.1,,535.0,,"Eu-Gene Jeong, Han-chul Jo, Ki-Doong Kang, Tae-woo Kim"
33,33,Kingdom,"['historical', 'thriller', 'fantasy']",Netflix,"This will be Netflix’s second Korean original series. It is adapted from the webcomic series “신의 나라 / Land of the Gods”, which was authored Writer Kim Eun Hee, her first venture into the webcomic industry, and drawn by Yang Kyung Il which was first published on 2015-July-23 by RHK. It’s planned for three seasons.Set in Korea’s medieval Joseon period, it tells the story of a crown prince Lee Chang (Joo Ji Hoon) who is sent on a suicide mission to investigate a mysterious plague that’s spreading across his country. The truth threatens the kingdom, when he discovers that it is an atrocious epidemic in the form of zombies.",2019.0,8.3,,9331.0,45 min,"Doona Bae, Greg Chun, Jun-ho Heo, Ji-Hoon Ju"
34,34,Spring Turns to Spring,"['comedy', 'fantasy']",MBC,"This drama is about the story of two women whose souls switch bodies, giving them chance to live out their dreams and gain new experiences.Kim Bo Mi (Lee Yoo Ri) works as a TV news anchorwoman and she only cares about herself. Meanwhile, Lee Bom (Uhm Ji Won) was once a popular actress, but she is now a lawmaker’s wife. She focuses only on taking care of her family. Somehow these two women switch bodies.",,,,,,
35,35,Blessing of the Sea,['melodrama'],MBC,"This drama is the modern version of the story of Shim Chung Yi (Lee So Yun), a woman who sees the world in various colors and she meets Ma Poong Do (Jae Hee), a pianist who sees the world only in black and white and finds out the secret to her lost father.",2019.0,,,,,"Nae-sang Ahn, Bo-ra Geum, Eun-Jin Ha, Hee Jae"
36,36,"What’s Wrong, Poong Sang","['family', 'comedy']",KBS2,nan,2019.0,7.1,,13.0,,"Lee Chang-Yeop, Hye-bin Jeon, Bo-Hee Lee, Si-young Lee"
37,37,Neighborhood Lawyer Jo Deul Ho (Season 2): Crime and Punishment,"['law', 'comedy']",KBS2,"This drama is based on the original webtoon “Dongnebyunhosa Jodeulho / 동네변호사 조들호” by Hatchling (해츨링) which was first published on 2013-March-03 via “comic.naver.com/webtoon“.The story of Jo Deul ho (Park Shin Yang) continues, about a once prosecutor turned lawyer who is currently unemployed. After a legal battle, his license is revoked for a short time, and he leaves the law for some peace of mind. Unbeknownst to him, he will not be left in peace.",,,,,,
38,38,The Crowned Clown,['historical'],tvN,"The drama series is a remake of the 2012 movie “Masquerade“.The story takes place at a time in Joseon history, when upheaval and power struggles surrounding the throne had reached extreme levels. In order to escape those who plan to assassinate him, the king puts a clown, who looks exactly like him, on the throne.",2019.0,5.8,,107.0,,"Gwang Jang, Young-nam Jang, Hye-Young Jung, Sang-kyung Kim"
39,39,Left-Handed Wife,"['melodrama', 'romantic']",KBS2,"Lee Soo Ho (Kim Jin Woo) and Oh San Ha (Lee Soo Kyung) are deeply in love. They have their wedding and go on a honeymoon. During their honeymoon, Lee Soo Ho has an accident and loses his memory. Meanwhile, Oh San Ha does not know what happened to her husband and tries to find him…",2019.0,,,,,"Yeon-joo Ha, Tae-Hyun Jin, Nam-kil Kang, Byeong-ki Kim"
40,40,The Best Chicken,"['comedy', 'romantic']",MBN &amp; DramaX,"One day, Park Choi Go (Park Sun Ho), decides to quit his job at a big company and open up his own chicken restaurant at what used to be a bathhouse. Meanwhile, Seo Bo Ah (Kim So Hye), an aspiring webtoon writer who secludes herself in the bathhouse, can’t accept that the building she inherited from her grandfather is turning into a chicken restaurant. To take her inheritance back, she becomes Park Choi Go’s employee along with Andrew Kang (Joo Woo Jae), a once promising chef who is now homeless. Can Park Choi Go become the ultimate chicken master and achieve his dream?",,,,,,
41,41,"www.koreandrama.org/2018-kbs-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2018 KBS Drama Awards (Winners List)""> 2018 KBS Drama Awards (Winners List)",['NaN'],,nan,,,,,,
42,42,"www.koreandrama.org/2018-mbc-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2018 MBC Drama Awards (Winners List)""> 2018 MBC Drama Awards (Winners List)",['NaN'],,nan,,,,,,
43,43,My Strange Hero,"['comedy', 'romantic']",SBS,"When Kang Bok Soo (Yoo Seung Ho) was a high school student, he was falsely accused of committing acts of violence and ended up expelled from school. Those who brought the accusations against him were his first love, Son Soo Jung (Jo Bo Ah), and a fellow student Oh Se Ho (Kwak Dong Yun).Kang Bok Soo has now become an adult, but in his life, nothing seems to go right for him. To get revenge on Son Soo Jung and Oh Se Ho, he decides to return to the same high school. There Kang Bok Soo gets involved in a series of unexpected cases.",2018.0,5.6,,146.0,,"Joel Roberts, Ho-jin Chun, Hyo-Seob Eom, Bo-ah Jo"
44,44,Dance Sports Girls,"['sport', 'children']",KBS2,"This drama is based on the award-winning documentary “Dance Sports Girls“, which aired on KBS1 in 2017.It  tells the story of girls in Geoje Girl Vocational High School, who dream of different dreams while preparing to get a job at the shipyard where the restructuring has recently begun. Although their grades are low, their efforts in trying to become better dancers are not limited.",2017.0,,,,85 min,"Lee Seung-Moon, Lee Gyoo-ho"
45,45,Bad Detective,"['thriller', 'crime']",MBC,"This drama is remake of the BBC TV series “Luther”.Woo Tae Suk (Shin Ha Kyun) is an experienced and well-established detective with a long professional career, but in spite of everything he is a lonely and bitter human being. It all has to do with him only focusing on solving cases, while his actions are completely controversial because it crosses the line between good and evil. Woo Tae Suk crosses paths with a female psychopath, Eun Sun Jae (Lee Seol) but he cannot arrest her because of lack of evidence. The woman eventually decides to help Woo Tae Suk solve other cases.",,,,,,
46,46,The Sound of Your Heart: Reboot (Season 2),['comedy'],Netflix,"A sitcom with cheeky imagination, unexpected turn of events, and raucous laughter.",2018.0,5.3,,28.0,,"Sung Hoon, Yuri Kwon, Hye-jin Shim, Jin-mo Joo"
47,47,"Coffee, Please","['romantic', 'fantasy']",Channel A,"This drama is about a pretty, overweight woman who, after sipping on a cup of magic coffee, becomes a beauty, and a handsome man who doesn’t believe in love.Im Hyun Woo (Yong Joon Hyung) is a webtoon writer. He is popular and handsome, but he is not nice to people and also does not believe in love. His trainee is Lee Seul Bi (Kim Min Young). She is cute and chubby. Seul Bi has had a crush on Hyun Woo for a long time. Yet, she has never told Hyun Woo about her feelings. One day, Seul Bi drinks coffee and she suddenly finds herself changed into a beautiful woman. She names herself Oh Go Woon (Chae Seo Jin).",2018.0,5.3,,15.0,,"Seo-jin Chae, Gil Eun Hye, Min-yeong Kim, Tae-Ri Lee"
48,48,Fates and Furies,['romantic'],SBS,"This drama is about a woman who decides to approach a man by telling him all sort of lies. The man falls for the lies told by the woman and ends up falling madly in love with her. Although the woman wants to tell the truth, she can not do it, because if she does she will lose the man she loves.Even though Goo Hae Ra (Lee Min Jung) is smart and beautiful, she is in miserable situation because of her family. Her older sister attempted suicide and her father passed away. The only way she can escape her situation is with money. She then approaches Tae In Joon (Joo Sang Wook). He is the second son of a shoe company owner…",2018.0,6.1,,24.0,,"Soo-Yeon Cha, Gyu-su Jeong, In-beom Ko, Jeong-hwan Kong"
