,Unnamed: 0,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
61,61,Making a Murderer,"['documentary', 'crime']","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",2015,8.6,,76219.0,60 min,"Dolores Avery, Steven Avery, Ken Kratz, Brendan Dassey"
62,62,Chef's Table,['documentary'],"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",2015,8.6,,10231.0,50 min,"Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore"
63,63,Atlanta,"['comedy', 'drama', 'music']","Based in Atlanta, Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",2016,8.6,,38157.0,30 min,"Donald Glover, Brian Tyree Henry, LaKeith Stanfield, Zazie Beetz"
64,64,Mr. Robot,"['crime', 'drama', 'thriller']","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",2015,8.6,,274248.0,49 min,"Rami Malek, Christian Slater, Portia Doubleday, Carly Chaikin"
65,65,Big Little Lies,"['crime', 'drama', 'mystery']",The apparently perfect lives of three mothers of first graders unravel to the point of murder.,2017,8.6,,98848.0,60 min,"Cameron Crovetti, Nicholas Crovetti, Reese Witherspoon, Nicole Kidman"
66,66,Impractical Jokers,"['comedy', 'reality-tv']","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",2011,8.6,,27507.0,30 min,"Brian Quinn, James Murray, Sal Vulcano, Joe Gatto"
67,67,Feud,"['biography', 'drama']","Planned anthology series centering on famous feuds, including Bette Davis and Joan Crawford that was canceled after its first season.",2017,8.6,,13907.0,45 min,"Jessica Lange, Susan Sarandon, Judy Davis, Jackie Hoffman"
68,68,The Newsroom,['drama'],"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",20122014,8.6,,95084.0,55 min,"Jeff Daniels, Emily Mortimer, John Gallagher Jr., Alison Pill"
69,69,Through the Wormhole,['documentary'],"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there ...                See full summary »",20102017,8.6,,15590.0,60 min,"Morgan Freeman, Sean Carroll, Michio Kaku, Carlos Frenk"
70,70,Louie,"['comedy', 'drama']","The life of Louie C.K., a divorced comedian living in New York with two kids.",20102015,8.6,,70134.0,22 min,"Louis C.K., Hadley Delany, Ursula Parker, Pamela Adlon"
