,Unnamed: 0,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
10,10,Doctor Prisoner,['Medical'],KBS2,This drama tell the story of a skilled doctor who is forced to quit the hospital after being accused of medical malpractice. He starts working in a prison with the goal of acquiring enough connections to take his revenge.,,,,,,
11,11,He Is Psychometric,"['Fantasy', 'Mystery', 'Romance', 'Comedy']",tvN,"Lee Ahn (<a href=""https://star.koreandrama.org/jin-young-1994/"" rel=""noopener noreferrer"" target=""_blank"">Park Jin Young</a>) has the ability to read oneÌ¢‰âÂ‰ã¢s secrets when he touches someone and he decides to use it to take bad people down. While he doesnÌ¢‰âÂ‰ã¢t know how to control his power yet, he meets Yoon Jae In (<a href=""https://star.koreandrama.org/shin-ye-eun/"" rel=""noopener noreferrer"" target=""_blank"">Shin Ye Eun</a>), a woman who tries her best to hide her secrets. They will team up to solve cases.",2019,8.3,,39,,"Hyo-Seob Eom, Eui-soo Jang, Mi-seon Jeon, Byeong-gyu Jo"
12,12,Big Issue,"['Fantasy', 'Suspense', 'Romance']",SBS,"This drama is about the story of a paparazzo who chases after celebrity scandals.</p><p>Due to a controversial photo, Han Suk Joo (<a href=""https://star.koreandrama.org/joo-jin-mo/"" rel=""noopener noreferrer"" target=""_blank"">Joo Jin Mo</a>) loses everything, including his prestigious job as a photographer for a top newspaper and his family. Meanwhile, Ji Soo Hyun (<a href=""https://star.koreandrama.org/han-ye-seul/"" rel=""noopener noreferrer"" target=""_blank"">Han Ye Seul</a>), the notorious chief editor of a paparazzi group, tries to recruit Han Suk Joo to become a paparazzi photographer at her company.",2019,,,,,"Song-hyeon Choi, Kim Gyu-Sun, Ye-seul Han, Jin-mo Ju"
13,13,Possessed,"['Horror', 'Comedy']",OCN,"Hong Seo Jung (<a href=""https://star.koreandrama.org/go-joon-hee/"" rel=""noopener"" target=""_blank"">Go Joon Hee</a>) lives a lonely life, sheltered and away from others because she is a psychic medium. But her quiet life comes to an end when Kang Pil Sun (<a href=""https://star.koreandrama.org/song-sae-byuk/"" rel=""noopener"" target=""_blank"">Song Sae Byuk</a>), a police detective in the middle of a case, discovers her hidden ability. They decide to join forces to solve all kind of cases, using his investigation skills and her special abilities.",2019,7.9,,63,,"Daniel Joey Albright, Hyuk-jin Jang, Han Sun Jo, Ji-Hoon Jung"
14,14,Love in Sadness,['Melodrama'],MBC,"The drama is described as being the story of a romance with life and death consequences. The main leads are a woman who is being chased, a man who is chasing after her, and the man who helps to hide her from her chaser. There will be perilous pursuits, secret desires, and social commentary.</p><p>Seo Jung Won (<a href=""https://star.koreandrama.org/ji-hyun-woo/"" rel=""noopener"" target=""_blank"">Ji Hyun Woo</a>) is a plastic surgeon. He is a good person, smart and handsome. He falls in love with Yoon Ma Ri (<a href=""https://star.koreandrama.org/park-han-byul/"" rel=""noopener"" target=""_blank"">Park Han Byul</a>). Yoon Ma Ri is an artist and the daughter-in-law of a chaebol family. Her marriage life is miserable. Her husband Kang In Wook (<a href=""https://star.koreandrama.org/ryu-soo-young/"" rel=""noopener"" target=""_blank"">Ryu Soo Young</a>) looks like a perfect husband, but he is obsessed with Yoon Ma Ri and violent towards her. Yoon Ma Ri decides to escape from her obsessive husband. She then meets Seo Jung Won and falls in love with him.",2019,6.8,,5,,"Hyun-Woo Ji, Won-joong Jung, Ye-ryeong Kim, Yoon-joo Kim"
15,15,The Fiery Priest,"['Crime', 'Comedy']",SBS,"This drama is about Kim Hae Il (<a href=""https://star.koreandrama.org/kim-nam-gil/"" rel=""noopener"" target=""_blank"">Kim Nam Gil</a>) who is a priest with anger issues, Goo Dae Young (<a href=""https://star.koreandrama.org/kim-sung-kyun/"" rel=""noopener"" target=""_blank"">Kim Sung Kyun</a>) who is a Gudam police detective, and Park Kyung Sun (<a href=""https://star.koreandrama.org/lee-ha-nui/"" rel=""noopener"" target=""_blank"">Lee Ha Nui</a>) who is a prosecutor. They join and work together to find the killer of a priest.",2019,8,,23,35 min,"Ji-won Baek, Joon Go, Lee Hanee, Sung-woo Jeon"
16,16,Haechi,"['Historical', 'Action']",SBS,"Set during the Joseon Dynasty period, the series follows three people from different walks of life who came together to help Prince Lee Geum (<a href=""https://star.koreandrama.org/jung-il-woo/"" rel=""noopener"" target=""_blank"">Jung Il Woo</a>) claim the throne and reform the <a href=""https://en.wikipedia.org/wiki/Saheonbu"" rel=""noopener"" target=""_blank"">Saheonbu</a>.",2019,8.8,,32,,"Ara Go, Sang-jin Han, Park Hoon, Il-Woo Jung"
17,17,Item,"['Fantasy', 'Mystery', 'Crime']",MBC,"This drama is based on the popular webtoon of the same name, written by <em>Ì¢‰âÂÒÌÇåøå_Ì_èÏ‰Û¢ / Min HyungÌ¢‰âÂå</em> and illustrated by <em>Ì¢‰âÂÒÌ»å_‰âÂÌÂå_‰âÂÌÂ‰Û_å / Kim Joon SukÌ¢‰âÂå</em> which was first published from 2017-March-26 via Ì¢‰âÂÒ<a href=""https://page.kakao.com/home?seriesId=49642475&amp;page=4"" rel=""noopener noreferrer"" target=""_blank"">kakao.com</a>Ì¢‰âÂÒ.</p><p>ItÌ¢‰âÂ‰ã¢s about a profiler and a prosecutor must uncover a conspiracy and the hidden secrets surrounding unique items with supernatural powers.",2019,7.2,,39,35 min,"Kim Do-Hyun, Se-Yeon Jin, Ji-Hoon Ju, Lee Jung-Hyun"
18,18,Dazzling,"['Fantasy', 'Romance']",jTBC,"This drama is about a woman who loses all her time before she can use it up and a man who gives up all of his radiant moments and lives a lethargic life.</p><p>Kim Hye Ja (<a href=""https://star.koreandrama.org/han-ji-min/"" rel=""noopener noreferrer"" target=""_blank"">Han Ji Min</a>) hopes to become an announcer. She is honest and has a positive personality, but she suddenly becomes a 70-year-old woman. 70-year-old Kim Hye Ja (<a href=""https://star.koreandrama.org/kim-hye-ja/"" rel=""noopener noreferrer"" target=""_blank"">Kim Hye Ja</a>) gains the special ability to manipulate time. Meanwhile, Lee Joon Ha (<a href=""https://star.koreandrama.org/nam-joo-hyuk/"" rel=""noopener noreferrer"" target=""_blank"">Nam Joo Hyuk</a>) wants to become a reporter. He has worked hard to achieve his dream, but he now lives his life hopelessly. He gets involved with Kim Hye Ja.",,,,,,
19,19,Trap,"['Mystery', 'Thriller']",OCN,"Kang Woo Hyun (<a href=""https://star.koreandrama.org/lee-seo-jin/"" rel=""noopener"" target=""_blank"">Lee Seo Jin</a>) is a respected anchor at a broadcasting station. He is a devout and happy father, who enjoys being surrounded by his charming family. He decides to try his luck in politics. One day, on a trip he makes with his family, a tragic incident happens. Meanwhile, Go Dong Kook (<a href=""https://star.koreandrama.org/sung-dong-il/"" rel=""noopener"" target=""_blank"">Sung Dong Il</a>), a veteran detective, who doesnÌ¢‰âÂ‰ã¢t stop at anything until a case is solved, decides to take the case of Kang Woo Hyun and sets out to investigate what lies behind the tragic incident.",2016,7.5,,1705,,"Hae-Jin Park, Go-eun Kim, Kang-Joon Seo, Song-Kyoung Lee"
