,Unnamed: 0,Title,Genre,Network,Summary
19,19,Trap,"['Mystery', 'Thriller']",OCN,kang woo hyun lee seo jin is a respected anchor at a broadcasting station he is a devout and happy father who enjoys being surrounded by his charming family he decides to try his luck in politics one day on a trip he makes with his family a tragic incident happens meanwhile go dong kook sung dong il a veteran detective who doesnâ€™t stop at anything until a case is solved decides to take the case of kang woo hyun and sets out to investigate what lies behind the tragic incident
20,20,Legal High,"['Legal', 'Comedy']",jTBC,this drama is remake of 2012 fuji tv drama series â€œlegal highâ€ which is starring by masato sakai and yui aragakiitâ€™s about a caustic moneyloving lawyer who will do anything to win and a passionate rookie lawyer with a strong sense of justicego tae rim jin goo is a lawyer he is arrogant and makes biting remarks but he has a 100 winning rate he canâ€™t even imagine ever losing a case and winning cases is the most important thing to him his attorneyâ€™s fee is obscenely high meanwhile seo jae in seo eun soo is a passionate rookie lawyer she wants to help clients trapped in unfair situations however he realizes that lawyers who do not win cases are useless and she then decides to work with go tae rim
21,21,Rude Miss Young Ae (Season 17),['Comedy'],tvN,now married to lee seung joon lee seung joon lee young ae kim hyun sook struggles to raise her baby as a working mother
22,22,Touch Your Heart,"['Romance', 'Comedy', 'Legal']",tvN,this drama is based on a web novel â€œjinsimi daddaâ€ by â€œì˜ˆê±°  yegeoâ€ which was published from 2016dec23 to 2017oct11 via â€œkakaopageâ€œit will be centered around the romance between a successful lawyer kwon jung rok lee dong wook and his secretary oh jin shim  oh yoon seo yoo in na the secretary is a disgraced former hallyu actress who is actually in disguise after being caught in a tabloid scandal with a third generation chaebol she desperately wants the lead role in a writerâ€™s drama for her work as a secretary in disguise
23,23,Babel,"['Legal', 'Mystery']",CSTV,this drama is about a prosecutor who started his career as a reporter for a newspaper faces a lifechanging event when his father dies in an unexplained accident and his mother takes her own life with his life shattered in pieces he wonâ€™t stop at anything to uncover what happened and to get revenge
24,24,Romance Is a Bonus Book,"['Romance', 'Comedy']",tvN,this drama is about the love story between two people in their 30â€™s who work in the world of publishingcha eun ho lee jong suk is a genius writer and the youngest chief editor ever at his publishing company he is smart and handsome he is also even tempered at work but he has a warm heart and a reasonable personalitymeanwhile kang dan yi lee na young used to be a popular copywriter but she is not anymore she is now broke and unemployed even though she tries to find a job due to her impressive career and excellent educational background she is unable to find a new job finally kang dan yi gets a job by lying about her background at a publishing company where cha eun ho work as chief editor they begin to develop romantic feelings for each other
25,25,Kingdom,"['Historical', 'Fantasy', 'Thriller']",Netflix,this will be netflixâ€™s second korean original series it is adapted from the webcomic series â€œì‹ ì˜ ë‚˜ë¼  land of the godsâ€ which was authored writer kim eun hee her first venture into the webcomic industry and drawn by yang kyung il which was first published on 2015july23 by rhk itâ€™s planned for three seasonsset in koreaâ€™s medieval joseon period it tells the story of a crown prince lee chang joo ji hoon who is sent on a suicide mission to investigate a mysterious plague thatâ€™s spreading across his country the truth threatens the kingdom when he discovers that it is an atrocious epidemic in the form of zombies
26,26,Spring Turns to Spring,"['Fantasy', 'Comedy']",MBC,this drama is about the story of two women whose souls switch bodies giving them chance to live out their dreams and gain new experienceskim bo mi lee yoo ri works as a tv news anchorwoman and she only cares about herself meanwhile lee bom uhm ji won was once a popular actress but she is now a lawmakerâ€™s wife she focuses only on taking care of her family somehow these two women switch bodies
27,27,Blessing of the Sea,['Melodrama'],MBC,this drama is the modern version of the story of shim chung yi lee so yun a woman who sees the world in various colors and she meets ma poong do jae hee a pianist who sees the world only in black and white and finds out the secret to her lost father
28,28,"Whatâ€™s Wrong, Poong Sang","['Family', 'Comedy']",KBS2,nan
29,29,Neighborhood Lawyer Jo Deul Ho (Season 2): Crime and Punishment,"['Legal', 'Comedy']",KBS2,this drama is based on the original webtoon â€œdongnebyunhosa jodeulho  ë™ë„¤ë³€í˜¸ì‚¬ ì¡°ë“¤í˜¸â€ by hatchling í•´ì¸¨ë§ which was first published on 2013march03 via â€œcomicnavercomwebtoonâ€œthe story of jo deul ho park shin yang continues about a once prosecutor turned lawyer who is currently unemployed after a legal battle his license is revoked for a short time and he leaves the law for some peace of mind unbeknownst to him he will not be left in peace
30,30,The Crowned Clown,['Historical'],tvN,the drama series is a remake of the 2012 movie â€œmasqueradeâ€œthe story takes place at a time in joseon history when upheaval and power struggles surrounding the throne had reached extreme levels in order to escape those who plan to assassinate him the king puts a clown who looks exactly like him on the throne
31,31,Left-Handed Wife,"['Melodrama', 'Romance']",KBS2,lee soo ho kim jin woo and oh san ha lee soo kyung are deeply in love they have their wedding and go on a honeymoon during their honeymoon lee soo ho has an accident and loses his memory meanwhile oh san ha does not know what happened to her husband and tries to find himâ€¦
32,32,The Best Chicken,"['Romance', 'Comedy']",MBN &amp; DramaX,one day park choi go park sun ho decides to quit his job at a big company and open up his own chicken restaurant at what used to be a bathhouse meanwhile seo bo ah kim so hye an aspiring webtoon writer who secludes herself in the bathhouse canâ€™t accept that the building she inherited from her grandfather is turning into a chicken restaurant to take her inheritance back she becomes park choi goâ€™s employee along with andrew kang joo woo jae a once promising chef who is now homeless can park choi go become the ultimate chicken master and achieve his dream
33,33,"www.koreandrama.org/2018-kbs-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2018 KBS Drama Awards (Winners List)""> 2018 KBS Drama Awards (Winners List)",['NaN'],,nan
34,34,"www.koreandrama.org/2018-mbc-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2018 MBC Drama Awards (Winners List)""> 2018 MBC Drama Awards (Winners List)",['NaN'],,nan
35,35,My Strange Hero,"['Romance', 'Comedy']",SBS,when kang bok soo yoo seung ho was a high school student he was falsely accused of committing acts of violence and ended up expelled from school those who brought the accusations against him were his first love son soo jung jo bo ah and a fellow student oh se ho kwak dong yunkang bok soo has now become an adult but in his life nothing seems to go right for him to get revenge on son soo jung and oh se ho he decides to return to the same high school there kang bok soo gets involved in a series of unexpected cases
36,36,Dance Sports Girls,"['Youth', 'Sports']",KBS2,this drama is based on the awardwinning documentary â€œdance sports girlsâ€œ which aired on kbs1 in 2017it  tells the story of girls in geoje girl vocational high school who dream of different dreams while preparing to get a job at the shipyard where the restructuring has recently begun although their grades are low their efforts in trying to become better dancers are not limited
