,Title,Genre,Network,Summary
14,Love in Sadness,['Melodrama'],MBC,"The drama is described as being the story of a romance with life and death consequences. The main leads are a woman who is being chased, a man who is chasing after her, and the man who helps to hide her from her chaser. There will be perilous pursuits, secret desires, and social commentary.</p><p>Seo Jung Won (<a href=""https://star.koreandrama.org/ji-hyun-woo/"" rel=""noopener"" target=""_blank"">Ji Hyun Woo</a>) is a plastic surgeon. He is a good person, smart and handsome. He falls in love with Yoon Ma Ri (<a href=""https://star.koreandrama.org/park-han-byul/"" rel=""noopener"" target=""_blank"">Park Han Byul</a>). Yoon Ma Ri is an artist and the daughter-in-law of a chaebol family. Her marriage life is miserable. Her husband Kang In Wook (<a href=""https://star.koreandrama.org/ryu-soo-young/"" rel=""noopener"" target=""_blank"">Ryu Soo Young</a>) looks like a perfect husband, but he is obsessed with Yoon Ma Ri and violent towards her. Yoon Ma Ri decides to escape from her obsessive husband. She then meets Seo Jung Won and falls in love with him."
15,The Fiery Priest,"['Crime', 'Comedy']",SBS,"This drama is about Kim Hae Il (<a href=""https://star.koreandrama.org/kim-nam-gil/"" rel=""noopener"" target=""_blank"">Kim Nam Gil</a>) who is a priest with anger issues, Goo Dae Young (<a href=""https://star.koreandrama.org/kim-sung-kyun/"" rel=""noopener"" target=""_blank"">Kim Sung Kyun</a>) who is a Gudam police detective, and Park Kyung Sun (<a href=""https://star.koreandrama.org/lee-ha-nui/"" rel=""noopener"" target=""_blank"">Lee Ha Nui</a>) who is a prosecutor. They join and work together to find the killer of a priest."
16,Haechi,"['Historical', 'Action']",SBS,"Set during the Joseon Dynasty period, the series follows three people from different walks of life who came together to help Prince Lee Geum (<a href=""https://star.koreandrama.org/jung-il-woo/"" rel=""noopener"" target=""_blank"">Jung Il Woo</a>) claim the throne and reform the <a href=""https://en.wikipedia.org/wiki/Saheonbu"" rel=""noopener"" target=""_blank"">Saheonbu</a>."
17,Item,"['Fantasy', 'Mystery', 'Crime']",MBC,"This drama is based on the popular webtoon of the same name, written by <em>â€œë¯¼í˜• / Min Hyungâ€</em> and illustrated by <em>â€œê¹€ì¤€ì„ / Kim Joon Sukâ€</em> which was first published from 2017-March-26 via â€œ<a href=""https://page.kakao.com/home?seriesId=49642475&amp;page=4"" rel=""noopener noreferrer"" target=""_blank"">kakao.com</a>â€œ.</p><p>Itâ€™s about a profiler and a prosecutor must uncover a conspiracy and the hidden secrets surrounding unique items with supernatural powers."
18,Dazzling,"['Fantasy', 'Romance']",jTBC,"This drama is about a woman who loses all her time before she can use it up and a man who gives up all of his radiant moments and lives a lethargic life.</p><p>Kim Hye Ja (<a href=""https://star.koreandrama.org/han-ji-min/"" rel=""noopener noreferrer"" target=""_blank"">Han Ji Min</a>) hopes to become an announcer. She is honest and has a positive personality, but she suddenly becomes a 70-year-old woman. 70-year-old Kim Hye Ja (<a href=""https://star.koreandrama.org/kim-hye-ja/"" rel=""noopener noreferrer"" target=""_blank"">Kim Hye Ja</a>) gains the special ability to manipulate time. Meanwhile, Lee Joon Ha (<a href=""https://star.koreandrama.org/nam-joo-hyuk/"" rel=""noopener noreferrer"" target=""_blank"">Nam Joo Hyuk</a>) wants to become a reporter. He has worked hard to achieve his dream, but he now lives his life hopelessly. He gets involved with Kim Hye Ja."
19,Trap,"['Mystery', 'Thriller']",OCN,"Kang Woo Hyun (<a href=""https://star.koreandrama.org/lee-seo-jin/"" rel=""noopener"" target=""_blank"">Lee Seo Jin</a>) is a respected anchor at a broadcasting station. He is a devout and happy father, who enjoys being surrounded by his charming family. He decides to try his luck in politics. One day, on a trip he makes with his family, a tragic incident happens. Meanwhile, Go Dong Kook (<a href=""https://star.koreandrama.org/sung-dong-il/"" rel=""noopener"" target=""_blank"">Sung Dong Il</a>), a veteran detective, who doesnâ€™t stop at anything until a case is solved, decides to take the case of Kang Woo Hyun and sets out to investigate what lies behind the tragic incident."
20,Legal High,"['Legal', 'Comedy']",jTBC,"This drama is remake of 2012 Fuji TV drama series <a href=""https://en.wikipedia.org/wiki/Legal_High_(Japanese_TV_series)"" rel=""noopener noreferrer"" target=""_blank""><em>â€œLegal Highâ€</em></a> which is starring by Masato Sakai and Yui Aragaki.</p><p>Itâ€™s about a caustic, money-loving lawyer who will do anything to win, and a passionate rookie lawyer with a strong sense of justice.</p><p>Go Tae Rim (<a href=""https://star.koreandrama.org/jin-goo/"" rel=""noopener noreferrer"" target=""_blank"">Jin Goo</a>) is a lawyer. He is arrogant and makes biting remarks, but he has a 100% winning rate. He canâ€™t even imagine ever losing a case and winning cases is the most important thing to him. His attorneyâ€™s fee is obscenely high. Meanwhile, Seo Jae In (<a href=""https://star.koreandrama.org/seo-eun-soo/"" rel=""noopener noreferrer"" target=""_blank"">Seo Eun Soo</a>) is a passionate rookie lawyer. She wants to help clients trapped in unfair situations. However, he realizes that lawyers who do not win cases are useless and she then decides to work with Go Tae Rim."
21,Rude Miss Young Ae (Season 17),['Comedy'],tvN,"Now married to Lee Seung Joon (<a href=""https://star.koreandrama.org/?p=30610"" rel=""noopener"" target=""_blank"">Lee Seung Joon</a>), Lee Young Ae (<a href=""https://star.koreandrama.org/kim-hyun-sook/"" rel=""noopener"" target=""_blank"">Kim Hyun Sook</a>) struggles to raise her baby as a working mother."
22,Touch Your Heart,"['Romance', 'Comedy', 'Legal']",tvN,"This drama is based on a web novel â€œJinsimi Daddaâ€ by <em>â€œì˜ˆê±° / Yegeoâ€</em>, which was published from 2016-Dec-23 to 2017-Oct-11 via <em>â€œ<a href=""https://page.kakao.com/home?seriesId=49293547&amp;page=1"" rel=""noopener noreferrer"" target=""_blank"">kakaopage</a>â€œ</em>.</p><p>It will be centered around the romance between a successful lawyer, Kwon Jung Rok (<a href=""https://star.koreandrama.org/lee-dong-wook/"" rel=""noopener noreferrer"" target=""_blank"">Lee Dong Wook</a>) and his secretary, Oh Jin Shim / Oh Yoon Seo (<a href=""https://star.koreandrama.org/yoo-in-na/"" rel=""noopener noreferrer"" target=""_blank"">Yoo In Na</a>). The secretary is a disgraced former Hallyu actress, who is actually in disguise after being caught in a tabloid scandal with a third generation chaebol. She desperately wants the lead role in a writerâ€™s drama for her work as a secretary in disguise."
23,Babel,"['Legal', 'Mystery']",CSTV,"This drama is about a prosecutor who started his career as a reporter for a newspaper faces a life-changing event when his father dies in an unexplained accident, and his mother takes her own life. With his life shattered in pieces, he wonâ€™t stop at anything to uncover what happened and to get revenge."
24,Romance Is a Bonus Book,"['Romance', 'Comedy']",tvN,"This drama is about the love story between two people in their 30â€™s, who work in the world of publishing.</p><p>Cha Eun Ho (<a href=""https://star.koreandrama.org/lee-jong-suk/"" rel=""noopener noreferrer"" target=""_blank"">Lee Jong Suk</a>) is a genius writer and the youngest chief editor ever at his publishing company. He is smart and handsome. He is also even tempered at work, but he has a warm heart and a reasonable personality.</p><p>Meanwhile, Kang Dan Yi (<a href=""https://star.koreandrama.org/lee-na-young/"" rel=""noopener noreferrer"" target=""_blank"">Lee Na Young</a>) used to be a popular copywriter, but she is not anymore. She is now broke and unemployed. Even though she tries to find a job, due to her impressive career and excellent educational background, she is unable to find a new job. Finally, Kang Dan Yi gets a job by lying about her background at a publishing company where Cha Eun Ho work as chief editor. They begin to develop romantic feelings for each other."
25,Kingdom,"['Historical', 'Fantasy', 'Thriller']",Netflix,"This will be Netflixâ€™s second Korean original series. It is adapted from the webcomic series <em>â€œì‹ ì˜ ë‚˜ë¼ / Land of the Godsâ€</em>, which was authored Writer Kim Eun Hee, her first venture into the webcomic industry, and drawn by Yang Kyung Il which was first published on 2015-July-23 by RHK. Itâ€™s planned for three seasons.</p><p>Set in Koreaâ€™s medieval Joseon period, it tells the story of a crown prince Lee Chang (<a href=""https://star.koreandrama.org/joo-ji-hoon/"" rel=""noopener"" target=""_blank"">Joo Ji Hoon</a>) who is sent on a suicide mission to investigate a mysterious plague thatâ€™s spreading across his country. The truth threatens the kingdom, when he discovers that it is an atrocious epidemic in the form of zombies."
26,Spring Turns to Spring,"['Fantasy', 'Comedy']",MBC,"This drama is about the story of two women whose souls switch bodies, giving them chance to live out their dreams and gain new experiences.</p><p>Kim Bo Mi (<a href=""https://star.koreandrama.org/lee-yoo-ri/"" rel=""noopener noreferrer"" target=""_blank"">Lee Yoo Ri</a>) works as a TV news anchorwoman and she only cares about herself. Meanwhile, Lee Bom (<a href=""https://star.koreandrama.org/uhm-ji-won/"" rel=""noopener noreferrer"" target=""_blank"">Uhm Ji Won</a>) was once a popular actress, but she is now a lawmakerâ€™s wife. She focuses only on taking care of her family. Somehow these two women switch bodies."
27,Blessing of the Sea,['Melodrama'],MBC,"This drama is the modern version of the story of Shim Chung Yi (<a href=""https://star.koreandrama.org/lee-so-yeon/"" rel=""noopener"" target=""_blank"">Lee So Yun</a>), a woman who sees the world in various colors and she meets Ma Poong Do (<a href=""https://star.koreandrama.org/jae-hee/"" rel=""noopener"" target=""_blank"">Jae Hee</a>), a pianist who sees the world only in black and white and finds out the secret to her lost father."
28,"Whatâ€™s Wrong, Poong Sang","['Family', 'Comedy']",KBS2,
29,Neighborhood Lawyer Jo Deul Ho (Season 2): Crime and Punishment,"['Legal', 'Comedy']",KBS2,"This drama is based on the original webtoon <em>â€œDongnebyunhosa Jodeulho / ë™ë„¤ë³€í˜¸ì‚¬ ì¡°ë“¤í˜¸â€</em> by Hatchling (í•´ì¸¨ë§) which was first published on 2013-March-03 via â€œ<em><a href=""http://comic.naver.com/webtoon/list.nhn?titleId=546625"" rel=""noopener noreferrer"" target=""_blank"">comic.naver.com/webtoon</a></em>â€œ.</p><p>The story of Jo Deul ho (<a href=""http://star.koreandrama.org/park-shin-yang/"" rel=""noopener noreferrer"" target=""_blank"">Park Shin Yang</a>) continues, about a once prosecutor turned lawyer who is currently unemployed. After a legal battle, his license is revoked for a short time, and he leaves the law for some peace of mind. Unbeknownst to him, he will not be left in peace."
30,The Crowned Clown,['Historical'],tvN,"The drama series is a remake of the 2012 movie â€œ<a href=""https://en.wikipedia.org/wiki/Masquerade_(2012_film)"" rel=""noopener"" target=""_blank"">Masquerade</a>â€œ.</p><p>The story takes place at a time in <a href=""https://en.wikipedia.org/wiki/Joseon"" rel=""noopener"" target=""_blank"">Joseon</a> history, when upheaval and power struggles surrounding the throne had reached extreme levels. In order to escape those who plan to assassinate him, the king puts a clown, who looks exactly like him, on the throne."
31,Left-Handed Wife,"['Melodrama', 'Romance']",KBS2,"Lee Soo Ho (<a href=""https://star.koreandrama.org/kim-jin-woo/"" rel=""noopener"" target=""_blank"">Kim Jin Woo</a>) and Oh San Ha (<a href=""https://star.koreandrama.org/lee-soo-kyung/"" rel=""noopener"" target=""_blank"">Lee Soo Kyung</a>) are deeply in love. They have their wedding and go on a honeymoon. During their honeymoon, Lee Soo Ho has an accident and loses his memory. Meanwhile, Oh San Ha does not know what happened to her husband and tries to find himâ€¦"
32,The Best Chicken,"['Romance', 'Comedy']",MBN &amp; DramaX,"One day, Park Choi Go (<a href=""https://star.koreandrama.org/park-sun-ho/"" rel=""noopener"" target=""_blank"">Park Sun Ho</a>), decides to quit his job at a big company and open up his own chicken restaurant at what used to be a bathhouse. Meanwhile, Seo Bo Ah (<a href=""https://star.koreandrama.org/kim-so-hye-1999/"" rel=""noopener"" target=""_blank"">Kim So Hye</a>), an aspiring webtoon writer who secludes herself in the bathhouse, canâ€™t accept that the building she inherited from her grandfather is turning into a chicken restaurant. To take her inheritance back, she becomes Park Choi Goâ€™s employee along with Andrew Kang (<a href=""https://star.koreandrama.org/joo-woo-jae/"" rel=""noopener"" target=""_blank"">Joo Woo Jae</a>), a once promising chef who is now homeless. Can Park Choi Go become the ultimate chicken master and achieve his dream?"
33,"www.koreandrama.org/2018-kbs-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2018 KBS Drama Awards (Winners List)""> 2018 KBS Drama Awards (Winners List)",['NaN'],,
34,"www.koreandrama.org/2018-mbc-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2018 MBC Drama Awards (Winners List)""> 2018 MBC Drama Awards (Winners List)",['NaN'],,
35,My Strange Hero,"['Romance', 'Comedy']",SBS,"When Kang Bok Soo (<a href=""https://star.koreandrama.org/yoo-seung-ho/"" rel=""noopener noreferrer"" target=""_blank"">Yoo Seung Ho</a>) was a high school student, he was falsely accused of committing acts of violence and ended up expelled from school. Those who brought the accusations against him were his first love, Son Soo Jung (<a href=""https://star.koreandrama.org/jo-bo-ah/"" rel=""noopener noreferrer"" target=""_blank"">Jo Bo Ah</a>), and a fellow student Oh Se Ho (<a href=""https://star.koreandrama.org/kwak-dong-yun/"" rel=""noopener noreferrer"" target=""_blank"">Kwak Dong Yun</a>).</p><p>Kang Bok Soo has now become an adult, but in his life, nothing seems to go right for him. To get revenge on Son Soo Jung and Oh Se Ho, he decides to return to the same high school. There Kang Bok Soo gets involved in a series of unexpected cases."
36,Dance Sports Girls,"['Youth', 'Sports']",KBS2,"This drama is based on the award-winning documentary â€œ<a href=""https://ko.wikipedia.org/wiki/%EB%95%90%EB%BD%80%EA%B1%B8%EC%A6%88"" rel=""noopener"" target=""_blank"">Dance Sports Girls</a>â€œ, which aired on KBS1 in 2017.</p><p>It  tells the story of girls in <a href=""https://en.wikipedia.org/wiki/Geoje"" rel=""noopener"" target=""_blank"">Geoje</a> Girl Vocational High School, who dream of different dreams while preparing to get a job at the shipyard where the restructuring has recently begun. Although their grades are low, their efforts in trying to become better dancers are not limited."
37,Bad Detective,"['Psychological', 'Crime']",MBC,"This drama is remake of the BBC TV series <a href=""https://en.wikipedia.org/wiki/Luther_(TV_series)"" rel=""noopener noreferrer"" target=""_blank""><em>â€œLutherâ€</em></a>.</p><p>Woo Tae Suk (<a href=""https://star.koreandrama.org/shin-ha-kyun/"" rel=""noopener noreferrer"" target=""_blank"">Shin Ha Kyun</a>) is an experienced and well-established detective with a long professional career, but in spite of everything he is a lonely and bitter human being. It all has to do with him only focusing on solving cases, while his actions are completely controversial because it crosses the line between good and evil. Woo Tae Suk crosses paths with a female psychopath, Eun Sun Jae (<a href=""https://star.koreandrama.org/lee-seol/"" rel=""noopener noreferrer"" target=""_blank"">Lee Seol</a>) but he cannot arrest her because of lack of evidence. The woman eventually decides to help Woo Tae Suk solve other cases."
38,The Sound of Your Heart: Reboot (Season 2),"['Comedy', 'Sitcom']",Netflix,"A sitcom with cheeky imagination, unexpected turn of events, and raucous laughter."
39,"Coffee, Please","['Romance', 'Fantasy']",Channel A,"This drama is about a pretty, overweight woman who, after sipping on a cup of magic coffee, becomes a beauty, and a handsome man who doesnâ€™t believe in love.</p><p>Im Hyun Woo (<a href=""https://star.koreandrama.org/yong-joon-hyung/"" rel=""noopener"" target=""_blank"">Yong Joon Hyung</a>) is a webtoon writer. He is popular and handsome, but he is not nice to people and also does not believe in love. His trainee is Lee Seul Bi (<a href=""https://star.koreandrama.org/kim-min-young/"" rel=""noopener"" target=""_blank"">Kim Min Young</a>). She is cute and chubby. Seul Bi has had a crush on Hyun Woo for a long time. Yet, she has never told Hyun Woo about her feelings. One day, Seul Bi drinks coffee and she suddenly finds herself changed into a beautiful woman. She names herself Oh Go Woon (<a href=""https://star.koreandrama.org/chae-seo-jin/"" rel=""noopener"" target=""_blank"">Chae Seo Jin</a>)."
40,Fates and Furies,['Romance'],SBS,"This drama is about a woman who decides to approach a man by telling him all sort of lies. The man falls for the lies told by the woman and ends up falling madly in love with her. Although the woman wants to tell the truth, she can not do it, because if she does she will lose the man she loves.</p><p>Even though Goo Hae Ra (<a href=""https://star.koreandrama.org/lee-min-jung/"" rel=""noopener"" target=""_blank"">Lee Min Jung</a>) is smart and beautiful, she is in miserable situation because of her family. Her older sister attempted suicide and her father passed away. The only way she can escape her situation is with money. She then approaches Tae In Joon (<a href=""https://star.koreandrama.org/joo-sang-wook/"" rel=""noopener"" target=""_blank"">Joo Sang Wook</a>). He is the second son of a shoe company ownerâ€¦"
41,Memories of the Alhambra,"['Fantasy', 'Romance', 'Mystery', 'Action']",tvN,"This drama begin the Overseas filming in Spain in late 2018-May, locations including Granada, Barcelona, Terrassa, and Girona. Additional filming in Budapest, Hungary and Slovenia in 2018-August.</p><p>After suffering a setback following his friendâ€™s betrayal, Yoo Jin Woo (<a href=""https://star.koreandrama.org/hyun-bin/"" rel=""noopener"" target=""_blank"">Hyun Bin</a>) travels to Spain for a business trip. There, he stays at a hostel owned by a former guitarist named Jung Hee Joo (<a href=""https://star.koreandrama.org/park-shin-hye/"" rel=""noopener"" target=""_blank"">Park Shin Hye</a>); and both get entangled in a mysterious incident."
42,Drama Stage (Season 2),['NaN'],tvN,
43,Encounter,"['Melodrama', 'Romance']",tvN,"This drama is about a man and a woman are brought together by fate. The woman who seems to have it all and the man who doesnâ€™t have anything meet, and they must decide which is harder to do: to give up wealth and authority, or to give up an ordinary life.</p><p>Cha Soo Hyun (<a href=""https://star.koreandrama.org/song-hye-gyo/"" rel=""noopener"" target=""_blank"">Song Hye Gyo</a>) is the daughter of a politician. After she graduated from college, she married the son from a family who runs a large company. Her marriage was a marriage of convenience for her politician father. After having a child, Cha Soo Hyun was compelled to get a divorce. She is now a divorcee. Meanwhile, Kim Jin Hyuk (<a href=""https://star.koreandrama.org/park-bo-geum/"" rel=""noopener"" target=""_blank"">Park Bo Geum</a>) is an ordinary young man. He tries to find a regular job and works part-time jobs in the meantime. He keeps failing in landing a regular job at companies where he wants to work. He decides to go on a trip overseas There, he meets Cha Soo Hyun."
44,Praise of Death,"['Romance', 'Historical', 'Music']",SBS,"The short drama is a remake of the award-winning 1991 film â€œ<a href=""https://en.wikipedia.org/wiki/Death_Song_(film)"" rel=""noopener"" target=""_blank"">Death Song</a>â€ which based on the true story of <a href=""https://ko.wikipedia.org/wiki/%EA%B9%80%EC%9A%B0%EC%A7%84_(1897%EB%85%84)"" rel=""noopener"" target=""_blank"">Kim Woo Jin</a> and <a href=""https://en.wikipedia.org/wiki/Yun_Sim-deok"" rel=""noopener"" target=""_blank"">Yoon Shim Duk</a>.</p><p>Itâ€™s tells the tragic love story of Kim Woo Jin (<a href=""https://star.koreandrama.org/lee-jong-suk/"" rel=""noopener"" target=""_blank"">Lee Jong Suk</a>), a married stage drama writer, and Yoon Shim Duk (<a href=""https://star.koreandrama.org/shin-hye-sun/"" rel=""noopener"" target=""_blank"">Shin Hye Sun</a>), Koreaâ€™s first professional soprano, who meet while studying at Tokyo University in the 1920s. Yun Shim Dukâ€™s recording of â€œDeath Songâ€ became the first Korean pop song in 1926."
45,Gangnam Scandal,['Melodrama'],SBS,"This drama tells the story of a poor woman living a dream of Cinderella.</p><p>Eun So Yoo (<a href=""https://star.koreandrama.org/shin-go-eun/"" rel=""noopener"" target=""_blank"">Shin Go Eun</a>) works as a stylist. She struggles to make enough money to pay for her motherâ€™s operation fee. Due to a case, Eun So Yoo gets involved with Choi Seo Joon (<a href=""https://star.koreandrama.org/im-yoon-ho/"" rel=""noopener"" target=""_blank"">Im Yoon Ho</a>). He is rich and from a chaebol family. Eun So Yoo pretends to love him for his money, but she falls truly in love with him. Choi Seo Joon has an in incurable disease. He is more interested in playing around than working and he doesnâ€™t believe in true love."
46,Clean With Passion For Now,"['Comedy', 'Romance']",jTBC,"This drama is based on same title webcomic by <em>â€œì•µê³ / Aengoâ€</em> which was first published from 2015-Aug-24 via <a href=""http://comico.kr/titles/180;jsessionid=33C7E4EF05EDFE4F36CFF85013363171"" rel=""noopener"" target=""_blank"">comico.kr</a></p><p>Jang Sun Kyul (<a href=""https://star.koreandrama.org/yoon-kyun-sang/"" rel=""noopener"" target=""_blank"">Yoon Kyun Sang</a>) sufferes from mysophobia (fear of germs) and operates a cleaning company. He meets Gil Oh Sol (<a href=""https://star.koreandrama.org/kim-yoo-jung/"" rel=""noopener"" target=""_blank"">Kim Yoo Jung</a>), who has a bright personality, but does not mind getting dirty. With the help of Oh Sol, Sun Kyul faces his fears and falls in love with her. Meanwhile, Choi Koon (<a href=""https://star.koreandrama.org/song-jae-rim/"" rel=""noopener"" target=""_blank"">Song Jae Rim</a>) is a mysterious man who lives on the rooftop of Oh Solâ€™s house and is known for being a free spirit."
