,Title,Wiki Summary,Wiki Tags,Genre,Network,Summary
10,Bulgurui Myeoneuri / Indomitable Daughters in Law,NaN,NaN,"['Family', 'drama']",MBC,"The story of three generations of daughters-in-law who have lived in a 300-year-old traditional house. Choi Mak Nyeo is the daughter-in-law of the 11th generation. She may be small of stature, stubborn and recalcitrant, but she has lead the large household with dignity and her powerful charisma ever since her husband died.</p><p>Cha Hye Ja is the daughter-in-law of the 12th generation. She lost her husband in an accident when she was young, and since then she has been dedicated to her role as a daughter-in-law of the family, taking care of the family with warmth. One day, however, her lover from the past suddenly shows up, and Hye Ja is thrown into a quandary.</p><p>Oh Young Shim is the 13th generation daughter-in-law, adored by everyone for her bright personality and optimism. Unfortunately, her lack of children even after 10 years of marriage makes her increasingly guilty. The situation worsens when her husband has an affair and demands a divorce, but is killed in a sudden traffic accident."
11,Feel Good To Die,"Feel Good to Die (Hangul: 죽어도 좋아; RR: Jug-eodo Joh-a; lit. Happy If You Died) is a 2018 South Korean television series based on the Daum webcomic of the same name, starring Kang Ji-hwan, Baek Jin-hee and Gong Myung. It aired on KBS2's Wednesdays and Thursdays at 22:00 (KST) time slot, from November 7 to December 27, 2018.","['2010s South Korean television series', '2018 South Korean television series debuts', '2018 South Korean television series endings', 'Album infoboxes lacking a cover', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'Articles with hAudio microformats', 'CS1 Korean-language sources (ko)', 'HanCinema drama ID not in Wikidata', 'Korean-language television programs', 'Korean Broadcasting System television dramas', 'Official website not in Wikidata', 'South Korean romantic comedy television series', 'Television programs based on South Korean webtoons']","['Fantasy', 'Office', 'Romance', 'Comedy']",KBS2,"This drama is based on webcomic <em>“Jookeodo Joa”</em> by <em>“골드키위새 / Goldkiwisae”</em> which was published from 2015-April-7 to 2016-October-25 via “<a href=""http://webtoon.daum.net/webtoon/view/verygood"" rel=""noopener"" target=""_blank"">webtoon.daum.net</a>“.</p><p>Lee Roo Da (<a href=""https://star.koreandrama.org/baek-jin-hee/"" rel=""noopener"" target=""_blank"">Baek Jin Hee</a>) tries to reform her boss Baek Jin Sang (<a href=""https://star.koreandrama.org/kang-ji-hwan/"" rel=""noopener"" target=""_blank"">Kang Ji Hwan</a>) to become a better person and a better boss.</p><p>Baek Jin Sang is a team leader of a company. The team members, including Lee Roo Da, do not like him at all. He is mean and arrogant to the employees. He always believes he is right. On the night of April 14th, Lee Roo Da has a dream of her boss being hit by a truck. The next morning she wakes up and finds that it is still April 14th…"
12,Tae-yang-sok-eur-ro / Into the Sun,NaN,NaN,['Romance/Comedy'],SBS,"A healthy and honest captain in the ROK navy, Kwon Sang Woo isn’t afraid to reveal his feelings towards anybody, including Myung Se Bin. When his sister (Kim Jung Hwa) is hospitaized with appendecitis, Kwon falls in love with Myung, a doctor at the hospital. Trying to win her love isn’t easy when Myung is sill grieving for her dead fiancee. Eventually Myung falls for his honest personality, but the mysterious death of her fiancee stirs up trouble later on. The truth is revealed as Myung finds out that her fiancee’s death is related to Kwon and Jung Sung Hwan (a fellow doctor who loves Myung). Meanwhile, Kwon’s suborbinate Jung Tae Woo meets Kim Jung Hwa at a nightclub. Being the player he is, he tries to win her not knowing that she is Kwon’s sister. They like each other, but for fear of Kwon finding out, the two use all kinds of methods to hide their relationship. As various characters find love in different ways, this drama attempts to show the healthy love story of four people."
13,The Spring Day of My Life,"South Korea, officially the Republic of Korea (ROK), is a country in East Asia, constituting the southern part of the Korean Peninsula and lying to the east of the Asian mainland. The name Korea is derived from Goguryeo which was one of the great powers in East Asia during its time, ruling most of the Korean Peninsula, Manchuria, parts of the Russian Far East and Inner Mongolia, under Gwanggaeto the Great. South Korea lies in the north temperate zone and has a predominantly mountainous terrain. It comprises an estimated 51.4 million residents distributed over 100,363 km2 (38,750 sq mi). Its capital and largest city is Seoul, with a population of around 10 million.
Archaeology indicates that the Korean Peninsula was inhabited by early humans starting from the Lower Paleolithic period (2.6 Ma–300 Ka). The history of Korea begins with the foundation of Gojoseon in 2333 BCE by the mythic king Dangun, but no archaeological evidence and writing was found from this period. The Gija Joseon was purportedly founded in 11th century BCE, and its existence and role has been controversial in the modern era. The written historical record on Gojoseon (Old Joseon) was first mentioned in Chinese records in the early 7th century BCE. Following the unification of the Three Kingdoms of Korea under Unified Silla in CE 668, Korea was subsequently ruled by the Goryeo dynasty (918–1392) and the Joseon dynasty (1392–1910). It was annexed by the Empire of Japan in 1910. At the end of World War II, Korea was divided into Soviet and U.S. zones of occupations. A separate election was held in the U.S. zone in 1948 which led to the creation of the Republic of Korea (ROK), while the Democratic People's Republic of Korea (DPRK) was established in the Soviet zone. The United Nations at the time passed a resolution declaring the ROK to be the only lawful government in Korea.The Korean War began in June 1950 when forces from North Korea invaded South Korea. The war lasted three years and involved the U.S., China, the Soviet Union and several other nations. The border between the two nations remains the most heavily fortified in the world. Under long-time military leader Park Chung-hee, the South Korean economy grew significantly and the country was transformed into a G-20 major economy. Military rule ended in 1987, and the country is now a presidential republic consisting of 17 administrative divisions.
South Korea is a highly developed country and a high-income economy, with a ""very high"" Human Development Index, ranking 22nd in the world. The country is considered a regional power and is the world's 11th largest economy by nominal GDP and the 12th largest by PPP as of 2010. South Korea is a global leader in the industrial and technological sectors, being the world's 5th largest exporter and 8th largest importer. Its export-driven economy primarily focuses production on electronics, automobiles, ships, machinery, petrochemicals and robotics. South Korea is a member of the ASEAN Plus mechanism, the United Nations, Uniting for Consensus, G20, the WTO and OECD and is a founding member of APEC and the East Asia Summit.","['1948 establishments in South Korea', 'All Wikipedia articles in need of updating', 'All articles containing potentially dated statements', 'All articles with dead external links', 'All articles with self-published sources', 'All articles with specifically marked weasel-worded phrases', 'All articles with unsourced statements', 'Articles containing Korean-language text', 'Articles containing potentially dated statements from 2005', 'Articles containing potentially dated statements from 2010', 'Articles containing potentially dated statements from 2016', 'Articles containing potentially dated statements from 2018', 'Articles containing potentially dated statements from May 2009', 'Articles with Curlie links', 'Articles with French-language external links', 'Articles with Korean-language external links', 'Articles with dead external links from April 2017', 'Articles with dead external links from February 2009', 'Articles with dead external links from July 2017', 'Articles with hAudio microformats', 'Articles with obsolete information from March 2012', 'Articles with permanently dead external links', 'Articles with self-published sources from December 2017', 'Articles with short description', 'Articles with specifically marked weasel-worded phrases from May 2012', 'Articles with unsourced statements from June 2018', 'CS1 Chinese-language sources (zh)', 'CS1 Korean-language sources (ko)', 'CS1 maint: BOT: original-url status unknown', 'CS1 uses Chinese-language script (zh)', 'CS1 uses Korean-language script (ko)', 'Coordinates on Wikidata', 'East Asian countries', 'G20 nations', 'Korea', 'Korean-speaking countries and territories', 'Member states of the United Nations', 'Northeast Asian countries', 'Official website different in Wikidata and Wikipedia', 'Pages using infobox country or infobox former country with the symbol caption or type parameters', 'Republics', 'South Korea', 'States and territories established in 1948', 'Use mdy dates from November 2017', 'Webarchive template wayback links', 'Webarchive template webcite links', 'Wikipedia articles incorporating text from the World Factbook', 'Wikipedia articles with BNF identifiers', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with ISNI identifiers', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with MusicBrainz area identifiers', 'Wikipedia articles with NARA identifiers', 'Wikipedia articles with NDL identifiers', 'Wikipedia articles with NKC identifiers', 'Wikipedia articles with SUDOC identifiers', 'Wikipedia articles with VIAF identifiers', 'Wikipedia articles with WorldCat-VIAF identifiers', 'Wikipedia indefinitely semi-protected pages']","['Melodrama', 'Romance', 'Comedy', 'Medical', 'Family']",MBC,"This is a melodrama about a woman who received heart transplant and a man who loved his late wife very much.</p><p>Lee Bom Yi (<a href=""http://star.koreandrama.org/?p=6572"" target=""_blank"">Choi Soo Young</a>) decided to live her life to the fullest as a token of gratitude for the donor. She then accidentally met Kang Dong Ha (<a href=""http://star.koreandrama.org/?p=131"" target=""_blank"">Kam Woo Sung</a>), a single father with two children, unaware that he was the husband of her donor. Kang Dong Ha is baffled that Lee Bom Yi shares many similar traits with his late wife."
14,Somehow 18,"DIA (; Korean: 다이아; shortened from DIAMOND and backronym for Do It Amazing) is a South Korean girl group formed by MBK Entertainment. The group is currently composed of eight members: Eunice, Jueun, Huihyeon, Jenny, Yebin, Chaeyeon, Eunchae and Somyi. The group officially debuted on September 17, 2015, with their lead single ""Somehow"" from debut album Do It Amazing.","['2015 establishments in South Korea', 'Articles containing Korean-language text', 'Articles with hCards', 'Articles with short description', 'CS1 Japanese-language sources (ja)', 'CS1 Korean-language sources (ko)', 'CS1 uses Japanese-language script (ja)', 'Commons category link is on Wikidata', 'K-pop music groups', 'MBK Entertainment artists', 'Musical groups established in 2015', 'Musical groups from Seoul', 'Pages containing links to subscription-only content', 'Pages using Template:Infobox musical artist with unknown parameters', 'Pages using Timeline', 'Pages with citations having bare URLs', 'Pages with citations lacking titles', 'South Korean dance music groups', 'South Korean girl groups', 'Use mdy dates from September 2015', 'Wikipedia articles with MusicBrainz identifiers']","['Fantasy', 'Romance', 'Comedy']","jTBC, NAVER tvcast","This drama is about a man who used to be a loner during his high school days and how he, in an attempt to revive his first love who passed away, goes back in time to when he was 18 years old.</p><p>Kyung Hwi (<a href=""http://star.koreandrama.org/min-ho/"" target=""_blank"">Min Ho</a>) was bullied when he was high school student. At that time, he liked Na Bi (<a href=""http://star.koreandrama.org/lee-yoo-bi/"" target=""_blank"">Lee Yoo Bi</a>). She was his first love, but she died. Now Kyung Hwi is a resident in orthopedics. To save Na Bi, Kyung Hwi travels back in time to when he was 18 years old."
15,Wanbyeokhan Spy / Perfect Spy,NaN,NaN,"['Mystery', 'comedy']",KBS2,"An unemployed young man gets framed as a spy and murderer and sets out to prove his innocence, admist the backdrop of an information war between intelligence organizations in Northeast Asia. Kim Hyuk Bum was one of the best pitchers in Cheongryonggi, with both talent and a handsome face, but ended up retiring from his career and the military in disgrace. When he meets Sang Joon by chance, he is dragged into a murder case and subsequently framed for it."
16,Rude Miss Young Ae (Season 10),NaN,NaN,['Comedy'],tvN,"A drama about a fat single woman Kim Young ae (<a href=""http://star.koreandrama.org/?p=14559"" target=""_blank"">Kim Hyun Sook</a>), the stress and prejudice she goes through with her seniors at work, co-workers and overtime."
17,Talcoman Supai / Sweet Spy,NaN,NaN,['PoliceComedy'],MBC,"Nam Sang-mi plays widowed police officer Lee Sun-ae who finds herself suddenly immersed into international espionage by Han Yoo-il (Dennis Oh), an undercover agent. Lee Joo-hyun plays Kang-Jun, who’s recently transferred to the Criminal Investigation Department. He opens an old case involving Sun-ae’s past that leads him to an entanglement between the current political/economic powers and their secrets. One of them, oddly enough, being Han Yoo-il. Who is this man? Why is he here?"
18,Jealousy Incarnate,"Don't Dare to Dream, also known as Jealousy Incarnate (Hangul: 질투의 화신; Hanja: 嫉妒의 化身; RR: Jiltueui Hwasin), is a 2016 South Korean television series starring Gong Hyo-jin, Jo Jung-suk, Go Kyung-pyo, Lee Mi-sook, Park Ji-young, Lee Sung-jae and Seo Ji-hye. It aired every Wednesday and Thursday at 22:00 (KST) on SBS from August 24 to November 10, 2016 for 24 episodes.","['2010s South Korean television series', '2016 South Korean television series debuts', '2016 South Korean television series endings', 'Album infoboxes lacking a cover', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'Articles with hAudio microformats', 'CS1 Korean-language sources (ko)', 'Daum TV series ID not in Wikidata', 'Official website different in Wikidata and Wikipedia', 'Screenplays by Seo Sook-hyang', 'Seoul Broadcasting System television dramas', 'South Korean romantic comedy television series', 'Television series about cancer', 'Television series about journalists', 'Television series about television', 'Television series by SM C&C']","['Romance', 'Comedy', 'Family']",SBS,"The drama depicts romance as well as intense competitive rivalry between an anchor and a weather forecaster working together for a television news show.</p><p>The competition is fierce when you work at a broadcast news station. You have no friends, and everyone is out for himself or herself. Pyo Na Ri (<a href=""http://star.koreandrama.org/gong-hyo-jin/"" target=""_blank"">Gong Hyo Jin</a>) is a weather forecaster from a humble background. She secures a part-time contract to work at a prestigious broadcast network but soon realizes that petty jealousy and cutthroat competition surrounds her every day at work. When Na Ri falls in love with the station’s star news anchor, Lee Hwa Shin (<a href=""http://star.koreandrama.org/jo-jung-suk/"" target=""_blank"">Jo Jung Suk</a>), will she be able to get what she wants both at work and in her personal life?"
19,You Are My Destiny,NaN,NaN,"['Romance', 'family']",,"Jang Sae Byuk is a a girl who tries to find a new meaning in life after she receives an eye cornea transplant from the doctor that took care of her after her accident. That doctor, Kim Na Young, died in a car accident on her way back from Africa. Sae Byuk becomes close with the Na Young’s family after finding them. The family slowly accepts her as part of the family. Kang Ho Se and Kim Tae Poong, Na Young’s twin brother, have disliked each other since they were young kids. This is mostly Tae Poong hates Ho Se because Ho Se’s family was rich and because Tae Poong’s father was Ho Se’s father’s driver and his mother was the maid."
