,Title,Wiki Summary,Wiki Tags,Genre,Network,Summary
331,Lee Soon Shin is the Best,NaN,NaN,"['Romance', 'Comedy', 'Family']",KBS2,"Lee Soon Shin (<a href=""http://star.koreandrama.org/?p=5049"" target=""_blank"">IU</a>) was born with a silver spoon in her mouth, but with the death of her father, she’s finally forced to confront reality and all of the hardships that come with it. Coddled as the youngest and least successful sibling of the family, the silly Soon Shin nevertheless shines as a lively and spirited girl, which attracts Shin Joon Ho (<a href=""http://star.koreandrama.org/?p=13263"" target=""_blank"">Jo Jung Suk</a>), a talent agent banking on a comely return-on-investment. However, both of them get more than they expected when their partnership turns both of their lives around for the better. (Source: dramafever)"
332,Heading to the Ground,"Heading to the Ground (Hangul: 맨땅에 헤딩; RR: Maenddange Heding), also known as No Limit is a 2009 South Korean television series starring Yunho, Go Ara, Lee Yoon-ji and Lee Sang-yoon. It aired on MBC on Wednesdays to Thursdays at 21:55 for 16 episodes beginning September 9, 2009.","['2000s South Korean television series', '2009 South Korean television series debuts', '2009 South Korean television series endings', 'All stub articles', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'Association football television series', 'Korean-language television programs', 'Munhwa Broadcasting Corporation television dramas', 'South Korean romantic comedy television series', 'South Korean sports television series', 'South Korean television stubs', 'Television series by SM C&C']","['Sports', 'romance']",MBC,"The drama about a man trying to achieve what is thought to be impossible: fulfilling his dreams of being a great soccer player.</p><p>Cha Bong Gun, a soccer player with great potential, wants to become a member of the national soccer team. As he works towards his goal, he meets Kang Hae Bin, an attractive and independent rookie sports agent who ends up bickering with him all the time. With Jang Seung Woo, an elite attorney, as his arch-enemy, Bong gun’s journey towards love and success is rough. To make matters more complicated, it turns out that Oh Yeon Yi, Bong gun’s childhood friend and the soccer team nutritionist, has a secret crush on him."
333,Pink Lipstick,"Pink Lipstick (Hangul: 분홍 립스틱; RR: Bunhong Lipseutik) is a 2010 South Korean television drama starring Park Eun-hye, Lee Joo-hyun, Park Gwang-hyun and Seo Yoo-jung. It aired on MBC from January 11 to August 6, 2010 on Mondays to Fridays at 7:50 a.m. for 149 episodes.

","['2010 South Korean television series debuts', '2010 South Korean television series endings', '2010s South Korean television series', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'CS1 Thai-language sources (th)', 'HanCinema drama ID not in Wikidata', 'Korean-language television programs', 'Munhwa Broadcasting Corporation television dramas', 'South Korean melodrama television series', 'South Korean romance television series', 'Use mdy dates from April 2016']","['Romance', 'family']",,"Yoo Ga Eun is a sweet-natured girl who dated and subsequently married her boyfriend, Park Jung Woo. However, she later discovers that her husband had an affair with her best friend, Mi Ran, and that their adopted daughter is actually Jung Woo and Mi Ran’s lovechild. To get revenge on them, she marries Maeng Ho Geol, a wealthy clothing retailer, and carefully plots their downfall. At the same time, Ga Eun also meets Ha Jae Bum, the man who falls deeply in love with her and promises to support her by her side, no matter what she does."
334,TV Novel – Land Of Gold,"TV Novel: Land of Gold (Hangul: TV소설 순금의 땅; RR: TVsoseol Sungeum-eui Ttang) is a 2014 South Korean morning soap opera broadcast by KBS2 starring Kang Ye-sol, Kang Eun-tak, Baek Seung-hee and Lee Byung-hoon. It premiered on January 6, 2014, airing from Mondays to Fridays at 9:00 a.m. for 163 episodes.","['2010s South Korean television series', '2014 South Korean television series debuts', '2014 South Korean television series endings', 'All stub articles', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'CS1 Korean-language sources (ko)', 'CS1 uses Korean-language script (ko)', 'Drama television series stubs', 'HanCinema film ID same as Wikidata', 'Korean-language television programs', 'Korean Broadcasting System television dramas', 'South Korean romance television series']","['Family', 'Romance', 'Melodrama', 'Period']",KBS2,
335,OK Family,"Ok Taec-yeon (Hangul: 옥택연; Hanja: 玉澤演; born December 27, 1988), known mononymously as Taecyeon, is a Korean rapper, singer, songwriter, actor, and entrepreneur. He is the main rapper of the South Korean boy group 2PM.
In 2010, Taecyeon debuted as an actor in the Korean drama Cinderella's Sister and since then has starred in Dream High (2011), Who Are You? (2013), Wonderful Days (2014), Assembly (2015), Let's Fight, Ghost (2016), and Save Me (2017), as well as the movies Marriage Blue (2013) and House of the Disappeared (2017).","['1988 births', '21st-century American rappers', '21st-century South Korean singers', '2PM members', 'Actors from Seoul', 'Articles containing Korean-language text', 'Articles with hCards', 'Articles with short description', 'Businesspeople from Massachusetts', 'Businesspeople in retailing', 'CS1 Chinese-language sources (zh)', 'CS1 Korean-language sources (ko)', 'Commons category link is on Wikidata', 'Dankook University alumni', 'English-language singers from South Korea', 'JYP Entertainment artists', 'Japanese-language singers of South Korea', 'Korea University alumni', 'Living people', 'People from Bedford, Massachusetts', 'People from Busan', 'Rappers from Massachusetts', 'Rappers from Seoul', 'Singers from Massachusetts', 'South Korean chief executives', 'South Korean dance musicians', 'South Korean expatriates in the United States', 'South Korean hip hop singers', 'South Korean male film actors', 'South Korean male idols', 'South Korean male models', 'South Korean male singers', 'South Korean male television actors', 'South Korean pop singers', 'South Korean rhythm and blues singers', 'Uiryeong Ok clan', 'Webarchive template wayback links', 'Wikipedia articles with MusicBrainz identifiers']",['Sitcom'],KBS2,2 special episode during new year.
336,Flower of the Queen,"A Frozen Flower (Hangul: 쌍화점; RR: Ssanghwajeom) is a 2008 South Korean erotic historical film. It is directed by Yoo Ha and stars Jo In-sung, Joo Jin-mo and Song Ji-hyo. The historical film is set during Goryeo Dynasty and is loosely based on the reign of Gongmin of Goryeo (1330–1374), but it does not strictly comply with historical facts. The controversial story is about the characters' violation of royal family protocol and their pursuit of love.It was released in South Korea on 30 December 2008 and was the 6th most attended film of 2008 with 3,772,976 tickets sold.","['2000s drama films', '2000s erotic films', '2008 films', '2010s LGBT-related films', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'Bisexuality-related films', 'Erotic films', 'Films directed by Yoo Ha', 'Films set in the 14th century', 'Films set in the Goryeo Dynasty', 'HanCinema film ID same as Wikidata', 'Historical films', 'Korean-language films', 'LGBT-related drama films', 'LGBT-related romance films', 'Showbox films', 'South Korean LGBT-related films', 'South Korean erotic films', 'South Korean films', 'South Korean historical films', 'Webarchive template wayback links']",['Melodrama'],MBC,"This is a drama will revolve around the life of an ambitious woman and her lost daughter, and the incidents that take place following their reunion.</p><p>Rena Jung (<a href=""http://star.koreandrama.org/?p=789"" target=""_blank"">Kim Sung Ryung</a>) is a beautiful and ambitious star chef who hosts her own cooking show. Her husband, Park Min Joon (<a href=""http://star.koreandrama.org/?p=907"" target=""_blank"">Lee Jong Hyuk</a>), is the first son of a family that runs a large company. Their relationship is not so good, but they try to show other people they are still in love.</p><p>Rena Jung ever abandoned her daughter, Kang Yi Sol (<a href=""http://star.koreandrama.org/?p=39186"" target=""_blank"">Lee Sung Kyung</a>) in the past and now her daughter appears again in front of her. Meanwhile, Park Jae Joon (<a href=""http://star.koreandrama.org/?p=31880"" target=""_blank"">Yoon Park</a>) is her husband’s younger brother. He is popular with women, but he is attracted to Kang Yi Sol."
337,The King of Dramas,"The King of Dramas (Hangul: 드라마의 제왕; RR: Deurama-ui Je-wang) is a 2012 South Korean television series,  starring Kim Myung-min, Jung Ryeo-won and Choi Siwon of Super Junior. It is a satirical dramedy about what goes on behind the scenes in making a TV drama. It aired on SBS from November 5, 2012, to January 8, 2013, on Mondays and Tuesdays at 21:55 for 18 episodes.","['2010s South Korean television series', '2012 South Korean television series debuts', '2012 South Korean television series endings', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'CS1 Japanese-language sources (ja)', 'CS1 Korean-language sources (ko)', 'CS1 Thai-language sources (th)', 'CS1 uses Japanese-language script (ja)', 'HanCinema drama ID not in Wikidata', 'Korean-language television programs', 'Seoul Broadcasting System television dramas', 'South Korean comedy-drama television series', 'South Korean romantic comedy television series', 'Television series about television']","['Romance', 'Comedy']",SBS,"<em>‘The Lord of the Drama’</em> is a comedy series set in the entertainment business and revolves around the drama-production world featuring a production company CEO, a rookie writer, and a top star.</p><p>Anthony Kim (<a href=""http://star.koreandrama.org/?p=923"" target=""_blank"">Kim Myung Min</a>) is a greedy but brilliant CEO of a production company who would do everything and anything for money. He is extremely talented in running a business.</p><p>Lee Go Eun (<a href=""http://star.koreandrama.org/?p=376"" target=""_blank"">Jung Ryu Won</a>) is a warm-hearted, honest and aspiring rookie writer.</p><p>Meanwhile, Kang Hyun Min (<a href=""http://star.koreandrama.org/?p=193"" target=""_blank"">Choi Si Won</a>) is a self-confident, ruthless, egoistic and arrogant top star.</p><p>What is a Drama? Drama is Money! Money! Money! 🙂 🙂 🙂"
338,Investigation Couple,"South Korea, officially the Republic of Korea (ROK), is a country in East Asia, constituting the southern part of the Korean Peninsula and lying to the east of the Asian mainland. The name Korea is derived from Goguryeo which was one of the great powers in East Asia during its time, ruling most of the Korean Peninsula, Manchuria, parts of the Russian Far East and Inner Mongolia, under Gwanggaeto the Great. South Korea lies in the north temperate zone and has a predominantly mountainous terrain. It comprises an estimated 51.4 million residents distributed over 100,363 km2 (38,750 sq mi). Its capital and largest city is Seoul, with a population of around 10 million.
Archaeology indicates that the Korean Peninsula was inhabited by early humans starting from the Lower Paleolithic period (2.6 Ma–300 Ka). The history of Korea begins with the foundation of Gojoseon in 2333 BCE by the mythic king Dangun, but no archaeological evidence and writing was found from this period. The Gija Joseon was purportedly founded in 11th century BCE, and its existence and role has been controversial in the modern era. The written historical record on Gojoseon (Old Joseon) was first mentioned in Chinese records in the early 7th century BCE. Following the unification of the Three Kingdoms of Korea under Unified Silla in CE 668, Korea was subsequently ruled by the Goryeo dynasty (918–1392) and the Joseon dynasty (1392–1910). It was annexed by the Empire of Japan in 1910. At the end of World War II, Korea was divided into Soviet and U.S. zones of occupations. A separate election was held in the U.S. zone in 1948 which led to the creation of the Republic of Korea (ROK), while the Democratic People's Republic of Korea (DPRK) was established in the Soviet zone. The United Nations at the time passed a resolution declaring the ROK to be the only lawful government in Korea.The Korean War began in June 1950 when forces from North Korea invaded South Korea. The war lasted three years and involved the U.S., China, the Soviet Union and several other nations. The border between the two nations remains the most heavily fortified in the world. Under long-time military leader Park Chung-hee, the South Korean economy grew significantly and the country was transformed into a G-20 major economy. Military rule ended in 1987, and the country is now a presidential republic consisting of 17 administrative divisions.
South Korea is a highly developed country and a high-income economy, with a ""very high"" Human Development Index, ranking 22nd in the world. The country is considered a regional power and is the world's 11th largest economy by nominal GDP and the 12th largest by PPP as of 2010. South Korea is a global leader in the industrial and technological sectors, being the world's 5th largest exporter and 8th largest importer. Its export-driven economy primarily focuses production on electronics, automobiles, ships, machinery, petrochemicals and robotics. South Korea is a member of the ASEAN Plus mechanism, the United Nations, Uniting for Consensus, G20, the WTO and OECD and is a founding member of APEC and the East Asia Summit.","['1948 establishments in South Korea', 'All Wikipedia articles in need of updating', 'All articles containing potentially dated statements', 'All articles with dead external links', 'All articles with self-published sources', 'All articles with specifically marked weasel-worded phrases', 'All articles with unsourced statements', 'Articles containing Korean-language text', 'Articles containing potentially dated statements from 2005', 'Articles containing potentially dated statements from 2010', 'Articles containing potentially dated statements from 2016', 'Articles containing potentially dated statements from 2018', 'Articles containing potentially dated statements from May 2009', 'Articles with Curlie links', 'Articles with French-language external links', 'Articles with Korean-language external links', 'Articles with dead external links from April 2017', 'Articles with dead external links from February 2009', 'Articles with dead external links from July 2017', 'Articles with hAudio microformats', 'Articles with obsolete information from March 2012', 'Articles with permanently dead external links', 'Articles with self-published sources from December 2017', 'Articles with short description', 'Articles with specifically marked weasel-worded phrases from May 2012', 'Articles with unsourced statements from June 2018', 'CS1 Chinese-language sources (zh)', 'CS1 Korean-language sources (ko)', 'CS1 maint: BOT: original-url status unknown', 'CS1 uses Chinese-language script (zh)', 'CS1 uses Korean-language script (ko)', 'Coordinates on Wikidata', 'East Asian countries', 'G20 nations', 'Korea', 'Korean-speaking countries and territories', 'Member states of the United Nations', 'Northeast Asian countries', 'Official website different in Wikidata and Wikipedia', 'Pages using infobox country or infobox former country with the symbol caption or type parameters', 'Republics', 'South Korea', 'States and territories established in 1948', 'Use mdy dates from November 2017', 'Webarchive template wayback links', 'Webarchive template webcite links', 'Wikipedia articles incorporating text from the World Factbook', 'Wikipedia articles with BNF identifiers', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with ISNI identifiers', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with MusicBrainz area identifiers', 'Wikipedia articles with NARA identifiers', 'Wikipedia articles with NDL identifiers', 'Wikipedia articles with NKC identifiers', 'Wikipedia articles with SUDOC identifiers', 'Wikipedia articles with VIAF identifiers', 'Wikipedia articles with WorldCat-VIAF identifiers', 'Wikipedia indefinitely semi-protected pages']","['Mystery', 'Detective']",MBC,"This drama is about a forensic doctor and prosecutor who work together to catch a serial killer.</p><p>Baek Bum (<a href=""http://star.koreandrama.org/jung-jae-young/"" rel=""noopener"" target=""_blank"">Jung Jae Young</a>) is a forensic doctor with 10 years of experience at the National Forensic Service. Although his skills are recognized and he has performed the most autopsies in Korea, he is eccentric and has a picky personality. Meanwhile, Eun Sol (<a href=""http://star.koreandrama.org/jung-yoo-mi-1984/"" rel=""noopener"" target=""_blank"">Jung Yoo Mi</a>) is a prosecutor working in the 8th Eastern District. As she was born into a wealthy family and possesses photographic memory, the detective is a warm, sensitive character who aims to connect with people’s hearts and pursue the truth."
339,Aeja Eonni Minja,NaN,NaN,"['Family', 'romance']",SBS,This drama revolves around how Min Ja and Ae Ja understand the most valuable possession of one’s life is family.
340,Level 7 Civil Servant,"7th Grade Civil Servant (Hangul: 7급 공무원; Hanja: 七級公務員; RR: 7geup Gongmuwon) is a 2013 South Korean television series starring Choi Kang-hee and Joo Won as rookie spies who trained together, and later become NIS agents who must hide their real identities from each other even as they fall in love.It aired on MBC from January 23 to March 28, 2013 on Wednesdays and Thursdays at 21:55 for 20 episodes.The spy romantic comedy series is a remake of the 2009 film My Girlfriend Is an Agent. Early working titles were Secret Agent War and The Secret Lovers.","['2010s South Korean television series', '2013 South Korean television series debuts', '2013 South Korean television series endings', 'Album infoboxes lacking a cover', 'All articles with unsourced statements', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'Articles with hAudio microformats', 'Articles with unsourced statements from September 2013', 'CS1 Korean-language sources (ko)', 'HanCinema drama ID not in Wikidata', 'Korean-language television programs', 'Munhwa Broadcasting Corporation television dramas', 'Pages using infobox television with editor parameter', 'South Korean action television series', 'South Korean romantic comedy television series', 'Use mdy dates from March 2016']","['Romance', 'Action', 'Comedy']",MBC,"This drama is an adaptation of the 2009 movie <em>‘<a href=""http://en.wikipedia.org/wiki/My_Girlfriend_Is_an_Agent"" target=""_blank"">My Girlfriend is an Agent</a>‘</em>.</p><p>This drama is a romantic comedy about a spy couple who hides their true identity from each other and at the same time illustrates about the love, friendship and internal department conflicts between the new generation of national intelligence agents. In the drama, while hiding their true identities from each other, the couple fall in love with each other.</p><p>Han Gil Ro (<a href=""http://star.koreandrama.org/?p=3982"" target=""_blank"">Joo Won</a>) is a man who always wanted to be a spy ever since he watched the 007 series when he was little. He is a kind, affluent and stylish man. He finally makes it into the National Intelligence Service, but is hit with many difficulties soon after. Meanwhile, Kim Seo Won (<a href=""http://star.koreandrama.org/?p=438"" target=""_blank"">Choi Kang Hee</a>) is an smart agent with brawn and looks but lacking in wealth. She’s works hard to support her family financially."
341,Bad Guys,"Bad Guys 2 (Hangul: 나쁜 녀석들: 악의 도시; RR: Nappeun Nyeoseokdeul: Akui Doshi; lit. ""Bad Guys: City of Evil"") is a 2017 South Korean television series starring Park Joong-hoon, Joo Jin-mo, Yang Ik-june, Kim Mu-yeol and Ji Soo. It is a spin-off of the 2014 television series Bad Guys. It airs on OCN starting December 16, 2017 on Saturdays and Sundays at 22:20 (KST) time slot.","['2010s South Korean television series', '2017 South Korean television series debuts', '2018 South Korean television series endings', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'CS1 Korean-language sources (ko)', 'Daum TV series ID same as Wikidata', 'HanCinema drama ID not in Wikidata', 'Interlanguage link template link number', 'Korean-language television programs', 'Orion Cinema Network television dramas', 'South Korean crime television series', 'South Korean thriller television series', 'Television series by Studio Dragon', 'Track listings with input errors']","['Crime', 'Action', 'Thriller']",OCN,"To combat rising violent crimes, the Police Chief asks Detective Oh Goo Tak (<a href=""http://star.koreandrama.org/?p=6730"" target=""_blank"">Kim Sang Joong</a>) to form a team consisting of criminals. He is currently suspended from the police force for using excessive force. He then gathers team members: Park Woong Chul (<a href=""http://star.koreandrama.org/?p=3512"" target=""_blank"">Ma Dong Suk</a>) who is a gangster, Lee Jung Moon (<a href=""http://star.koreandrama.org/?p=496"" target=""_blank"">Park Hae Jin</a>) who is the youngest serial killer with extraordinary intelligence and Jung Tae Soo (<a href=""http://star.koreandrama.org/?p=950"" target=""_blank"">Jo Dong Hyuk</a>) who is a contract killer. Police Inspector Yoo Mi Young (<a href=""http://star.koreandrama.org/?p=23319"" target=""_blank"">Kang Ye Won</a>) also joins the team and she tries to have these guys work as a team by dealing with them rationally and sometimes emotionally."
342,Bicheonmu,"Bichunmoo (Hangul: 비천무; RR: Bicheonmu) is a 2000 South Korean martial arts fantasy drama film written and directed by Kim Young-jun and featuring Shin Hyun-joon, Kim Hee-sun and Jung Jin-young. At the time of its release, it was the most expensive film in Korean history (it was supplanted in 2001 by Musa).

","['2000 films', 'All articles needing additional references', 'All stub articles', 'Articles containing Korean-language text', 'Articles needing additional references from March 2007', 'Korean-language films', 'South Korean film stubs', 'South Korean films']","['Fantasy', 'romance', 'action']",SBS,Not Available Yet
343,On Air,"The Republic of Korea Air Force (ROKAF; Korean: 대한민국 공군; Hanja: 大韓民國 空軍; Romanization: Daehanminguk Gong-gun), also known as the ROK Air Force, is the aerial warfare service branch of South Korea, operating under the South Korean Ministry of National Defense.","['All articles with dead external links', 'All articles with unsourced statements', 'Articles containing Korean-language text', 'Articles with dead external links from April 2018', 'Articles with permanently dead external links', 'Articles with short description', 'Articles with unsourced statements from May 2010', 'Articles with unsourced statements from October 2013', 'CS1 Korean-language sources (ko)', 'Military of South Korea', 'Republic of Korea Air Force', 'Webarchive template wayback links']",['Romance'],SBS,"This new drama is about the behind the scenes of TV drama production. It also portrays how the whole production team and performers complete a project in a tight schedule and as well as how actors, actresses, and entertainment agencies handle rumors surrounding them. Jang Ki Joon is a manager who is in charge of the activities of many famous actors and actresses. One of them is Oh Seung Ah who is a rising actress. Lee Kyung Min is a drama PD, Seo Young Eun is a script writer with a young son."
344,Gaksital / Bridal Mask,"Bridal Mask (Hangul: 각시탈; RR: Gaksital) is a 2012 KBS2 period drama based on the popular Korean manhwa by Huh Young-man. Set in Seoul, Korea, during the 1930s Japanese colonial era, the story follows a man named Lee Kang-to, a Korean police officer commissioned by the Japanese Police to betray his own country and aid the Japanese in the annihilation of the Korean rebellion. It stars Joo Won, Jin Se-yeon and Shin Hyun-joon.","['2010s South Korean television series', '2012 South Korean television series debuts', '2012 South Korean television series endings', 'Articles containing Arabic-language text', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'CS1 Thai-language sources (th)', 'HanCinema film ID same as Wikidata', 'Korean-language television programs', 'Korean Broadcasting System television dramas', 'South Korean action television series', 'South Korean espionage television series', 'South Korean historical television series', 'South Korean romance television series', 'Television programs based on manhwa', 'Television programs based on works by Huh Young-man', 'Television series by Pan Entertainment', 'Television series set in Korea under Japanese rule']",['Action'],KBS2,"This drama tells a story of two brothers who live in Seoul in the 1930s, oppressed under Japanese rule during one of the darkest periods of Korea’s history.</p><p>Lee Kang To (<a href=""http://star.koreandrama.org/?p=3982"" target=""_blank"">Joo Won</a>), the younger brother, is a rising star in the police force and works with the Japanese police to capture ‘Bridal Mask’ a mysterious freedom fighter who fights for independence wearing a traditional Korean bride’s mask. However, Kang To is unaware that his prey, ‘Bridal Mask’ is in fact his older brother, Lee Kang San (<a href=""http://star.koreandrama.org/?p=26"" target=""_blank"">Shin Hyun Joon</a>).</p><p>Kang To’s life is irrevocably changed after Kang San died. The death of his beloved older brother drives him to take up the bridal mask of his fallen brother and fulfill his dream of freeing Korea from Japanese rule."
345,Temporary Idols,"Hwang Seung-eon (born October 31, 1988) is a South Korean actress. She has appeared in numerous films, television series, variety shows, and music videos.","['1988 births', '21st-century South Korean actresses', 'All articles needing additional references', 'Articles containing Korean-language text', 'Articles needing additional references from February 2018', 'Articles with hCards', 'CS1 Korean-language sources (ko)', 'HanCinema person ID same as Wikidata', 'King of Mask Singer contestants', 'Kyung Hee University alumni', 'Living people', 'People from Seoul', 'South Korean film actresses', 'South Korean television actresses', 'Wikipedia articles needing hanja']","['Musical', 'Romance']",SBS &amp; Netflix,"This drama takes place in fictional entertainment company where a producer who has produced many famous idols suddenly has an existential crisis and disappears. Years later he appears and starts to put together a co-ed idol group, which is when the story begins."
346,Solomon’s Perjury,NaN,NaN,"['School', 'mystery', 'crime', 'legal']",jTBC,
347,For the Sake of Son,The legal system of South Korea is a civil law system that has its basis in the Constitution of the Republic of Korea.,"['All NPOV disputes', 'All articles to be expanded', 'All articles with empty sections', 'Articles to be expanded from November 2012', 'Articles using small message boxes', 'Articles with empty sections from November 2012', 'CS1 maint: Archived copy as title', 'NPOV disputes from April 2017', 'South Korean law', 'Webarchive template wayback links']","['Romance', 'Fantasy', 'Period']",KBS2,Drama about a female spy from North Korea with a secret mission and a crime squad detective who falls in love with her without knowing who she is.
348,To Be Continued,"South Korea, officially the Republic of Korea (ROK), is a country in East Asia, constituting the southern part of the Korean Peninsula and lying to the east of the Asian mainland. The name Korea is derived from Goguryeo which was one of the great powers in East Asia during its time, ruling most of the Korean Peninsula, Manchuria, parts of the Russian Far East and Inner Mongolia, under Gwanggaeto the Great. South Korea lies in the north temperate zone and has a predominantly mountainous terrain. It comprises an estimated 51.4 million residents distributed over 100,363 km2 (38,750 sq mi). Its capital and largest city is Seoul, with a population of around 10 million.
Archaeology indicates that the Korean Peninsula was inhabited by early humans starting from the Lower Paleolithic period (2.6 Ma–300 Ka). The history of Korea begins with the foundation of Gojoseon in 2333 BCE by the mythic king Dangun, but no archaeological evidence and writing was found from this period. The Gija Joseon was purportedly founded in 11th century BCE, and its existence and role has been controversial in the modern era. The written historical record on Gojoseon (Old Joseon) was first mentioned in Chinese records in the early 7th century BCE. Following the unification of the Three Kingdoms of Korea under Unified Silla in CE 668, Korea was subsequently ruled by the Goryeo dynasty (918–1392) and the Joseon dynasty (1392–1910). It was annexed by the Empire of Japan in 1910. At the end of World War II, Korea was divided into Soviet and U.S. zones of occupations. A separate election was held in the U.S. zone in 1948 which led to the creation of the Republic of Korea (ROK), while the Democratic People's Republic of Korea (DPRK) was established in the Soviet zone. The United Nations at the time passed a resolution declaring the ROK to be the only lawful government in Korea.The Korean War began in June 1950 when forces from North Korea invaded South Korea. The war lasted three years and involved the U.S., China, the Soviet Union and several other nations. The border between the two nations remains the most heavily fortified in the world. Under long-time military leader Park Chung-hee, the South Korean economy grew significantly and the country was transformed into a G-20 major economy. Military rule ended in 1987, and the country is now a presidential republic consisting of 17 administrative divisions.
South Korea is a highly developed country and a high-income economy, with a ""very high"" Human Development Index, ranking 22nd in the world. The country is considered a regional power and is the world's 11th largest economy by nominal GDP and the 12th largest by PPP as of 2010. South Korea is a global leader in the industrial and technological sectors, being the world's 5th largest exporter and 8th largest importer. Its export-driven economy primarily focuses production on electronics, automobiles, ships, machinery, petrochemicals and robotics. South Korea is a member of the ASEAN Plus mechanism, the United Nations, Uniting for Consensus, G20, the WTO and OECD and is a founding member of APEC and the East Asia Summit.","['1948 establishments in South Korea', 'All Wikipedia articles in need of updating', 'All articles containing potentially dated statements', 'All articles with dead external links', 'All articles with self-published sources', 'All articles with specifically marked weasel-worded phrases', 'All articles with unsourced statements', 'Articles containing Korean-language text', 'Articles containing potentially dated statements from 2005', 'Articles containing potentially dated statements from 2010', 'Articles containing potentially dated statements from 2016', 'Articles containing potentially dated statements from 2018', 'Articles containing potentially dated statements from May 2009', 'Articles with Curlie links', 'Articles with French-language external links', 'Articles with Korean-language external links', 'Articles with dead external links from April 2017', 'Articles with dead external links from February 2009', 'Articles with dead external links from July 2017', 'Articles with hAudio microformats', 'Articles with obsolete information from March 2012', 'Articles with permanently dead external links', 'Articles with self-published sources from December 2017', 'Articles with short description', 'Articles with specifically marked weasel-worded phrases from May 2012', 'Articles with unsourced statements from June 2018', 'CS1 Chinese-language sources (zh)', 'CS1 Korean-language sources (ko)', 'CS1 maint: BOT: original-url status unknown', 'CS1 uses Chinese-language script (zh)', 'CS1 uses Korean-language script (ko)', 'Coordinates on Wikidata', 'East Asian countries', 'G20 nations', 'Korea', 'Korean-speaking countries and territories', 'Member states of the United Nations', 'Northeast Asian countries', 'Official website different in Wikidata and Wikipedia', 'Pages using infobox country or infobox former country with the symbol caption or type parameters', 'Republics', 'South Korea', 'States and territories established in 1948', 'Use mdy dates from November 2017', 'Webarchive template wayback links', 'Webarchive template webcite links', 'Wikipedia articles incorporating text from the World Factbook', 'Wikipedia articles with BNF identifiers', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with ISNI identifiers', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with MusicBrainz area identifiers', 'Wikipedia articles with NARA identifiers', 'Wikipedia articles with NDL identifiers', 'Wikipedia articles with NKC identifiers', 'Wikipedia articles with SUDOC identifiers', 'Wikipedia articles with VIAF identifiers', 'Wikipedia articles with WorldCat-VIAF identifiers', 'Wikipedia indefinitely semi-protected pages']","['Fantasy', 'Romance']",NAVER tvcast &amp; MBC every1,This Web-drama is about a boy group who fall to the past just a day before their debut and getting back in time with the help of a girl.
349,Kim Soo Ro,"Kim Soo-ro (born Kim Sang-joong on May 7, 1970) is a South Korean actor.","['1970 births', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'Articles with hCards', 'Dongguk University alumni', 'Infobox person using alma mater', 'Living people', 'South Korean male film actors', 'South Korean male stage actors', 'South Korean male television actors']",['Historical'],MBC,"This drama charts the life of Kim Soo Ro, legendary founder of Geumgwan Gaya, the ruling city-state of the Gaya confederacy, which dominated sea trade and iron working during the Three Kingdoms Period. Kim Soo Ro’s fiery temperament, charisma and intelligence are his only defense in the extended political struggle, with competition for the throne from his half-brother and lifelong rival, Ijinashi, his former friend Suk Tal Hae, and the dangerous ambitions of Shin Kwi Gan."
350,"www.koreandrama.org/2018-mbc-drama-awards-winners-list/"" rel=""bookmark"" title=""Permanent Link to 2018 MBC Drama Awards (Winners List)""> 2018 MBC Drama Awards (Winners List)",NaN,NaN,['NaN'],,
351,Yokmangeui Bulkkot / Flames of Desire,"Flames of Desire (Hangul: 욕망의 불꽃; RR: Yokmangeui Bulkkot; lit. Flames of Ambition) is a South Korean television series starring Shin Eun-kyung, Seo Woo, Yoo Seung-ho, Jo Min-ki, and Lee Soon-jae. It aired on MBC from October 2, 2010 to March 27, 2011 on Saturdays and Sundays at 21:45 for 50 episodes.
The early working title was A Woman Only Loves Once in a Lifetime (Hangul: 여자는 일생에 단 한번 사랑한다).

","['2010 South Korean television series debuts', '2010s South Korean television series', '2011 South Korean television series endings', 'Articles containing Korean-language text', 'Articles with Korean-language external links', 'HanCinema drama ID not in Wikidata', 'Korean-language television programs', 'Munhwa Broadcasting Corporation television dramas', 'South Korean melodrama television series', 'Use mdy dates from April 2016']","['Drama', 'romance']",,"The story of a conglomerate family that falls apart when the members are caught up in a furious battle for succession. Kim Tae Jin’s children all covet his fortune and the power that he possesses as the company president, and they would do anything, however cruel and inhumane, to wrest it from the others. At the forefront of this desperate game is Yoon Na Young, the ruthless and ambitious wife of Kim Young Min, Tae Jin’s third son. Her unquenchable thirst for power and wealth drove her to the point of no return, manipulating both husband and son to achieve her own desires."
