,Actor,Shows
31,Bae Seul Gi,"['Risky Romance', 'The Shining Eun Soo', 'The Flatterer', 'Cheo Yong 2', 'Golden Tower', 'Unemployed Romance', 'The Equator Man', 'Late Night Hospital', 'The Greatest Love', 'Sea God', 'Full House']"
32,Bae Suzy,"['Miss ', 'While You Were Sleeping', 'Uncontrollably Fond', 'You Who Came From the Stars', 'KangChi, The Beginning', 'Big', 'I Need a Fairy', 'Human Casino', 'Dream High Season 2', 'Dream High Season 1', '2017 SBS Drama Award', '2017 SBS Drama Award', '52nd Paeksang Arts Award', '2013 MBC Drama Award', '2013 MBC Drama Award', '2012 KBS Drama Award', '2011 KBS Drama Award', '2011 KBS Drama Award']"
33,Bae Woo Hee,"['Home for Summer', 'The Time We Were Not In Love', 'The Lover', 'Persevere, Goo Hae Ra', 'Reply 1994']"
34,Bae Yoon Kyung,"['Doctor Prisoner', 'Bad Detective', 'The Sound of Your Heart: Reboot 1', 'Joseon Beauty Pageant']"
35,Baek Bo Ram,"['Blessing of the Sea', 'Woman of Dignity', 'My Wife’s Having an Affair this Week', 'Here Comes Love', 'Melody of Love', 'A Hundred Year’s Inheritance', 'Dummy Mommy', 'Pink Lipstick']"
36,Baek Eun Hye,"['Mung Bean Flower', 'The Long Good-bye', 'What’s Wrong With Secretary Kim']"
37,Baek Eun Kyung,"['Andantae', 'Girls’ Generation 1979']"
38,Baek Hyun Joo,"['The Secret Life of My Secretary', 'Let’s Eat 3', 'Awl']"
39,Baek Hyun Sook,"['Bad Guy', 'Yi San', 'Jumong', 'Into The Storm', 'Dae Jang Geum', 'All In']"
40,Baek Ji Won,"['The Fiery Priest', 'Encounter', 'About Time', 'Handsome Guy and Jung Eum', 'Mad Dog', 'My Golden Life', 'Reunited Worlds', 'Fight for My Way', 'Defendant', 'Beautiful Mind', 'I Have a Lover', 'Heard It Through the Grapevine', 'The Family Is Coming', 'Secret Love Affair']"
