,Actor,Shows
304,Hong Soo Hyun,"['Mystery Queen 2', 'Rich Family’s Son', 'Mad Dog', 'Mom', 'Will You Love and Give It Away?', 'Jang Ok Jung', 'Goodbye Dear Wife', 'Salaryman Chohanji', 'The Princess’ Man', 'Lie to Me', 'Temptation of an Angel', 'Hometown Legends', 'Her Style', 'Dae Jo Yeong', 'Only You', 'Miss Kim Makes 1 Million', 'My Lovely Family', 'King’s Woman', 'Sang Doo, Let’s Go To School', 'Mom’s Song', '2013 MBC Drama Award', '2011 KBS Drama Award', '2011 KBS Drama Award']"
305,Hong Sung Sook,"['My Sassy Girl', 'The Prime Minister and I', 'Tasty Life', 'A Wife’s Credentials']"
306,Hong Yeo Jin,"['I’m a Mother too', 'Temptation', 'King’s Daughter, Soo Baek Hyang', 'Can’t Take It Anymore', 'Scandal : a Shocking and Wrongful Incident', 'Childless Comfort', 'Bridal Mask', 'Panda and Hedgehog', 'Stroke of Luck', 'It’s Okay, Daddy’s Girl', 'Giant', 'Don’t Hesitate', 'Enjoy Life', 'Hometown Legends', 'Temptation of Wife', 'Hometown Legends', 'In-Soon is Pretty', 'Love and Hate', 'Thank You', 'All In']"
307,Hong Yi Joo,"['Father is Strange', 'The Great Seer']"
308,Hong Yoon Hwa,"['Wok of Love', 'Perfect Wife', 'The Miracle', 'Oh My Venus', 'Flower of the Queen', 'Real School!', 'Mischievous Kiss']"
309,Horan,"['Triangle', 'The Greatest Love', 'Call of the Country']"
310,Hwang Bo Mi,['Gangnam Scandal']
311,Hwang Bo Ra,"['Touch Your Heart', 'What’s Wrong With Secretary Kim', 'The Miracle We Met', 'Borg Mom', 'Third-Rate My Way', 'Disqualified Laughter', 'Entourage', 'Blow Breeze', 'Ms. Temper & Nam Jung Gi', 'Mr. Back', 'Cunning Single Lady', 'The Firstborn', 'Arang and the Magistrate', 'Love Rain', 'Dangerous Woman', 'Smile, Mom', 'Road Number One', 'Father’s Place', 'Love Marriage', 'My Girl', 'The Secret Lovers', 'Lawyers', 'Land']"
312,Hwang Chae Won,"['The Family Is Coming', 'Inspiring Generation', 'Goddess of Marriage', 'Rascal Sons']"
313,Hwang Eun Hye,"['My Daughter Seo Young', 'Creating Destiny', 'Dream', 'Ja Myung Go', 'Chosun Police']"
314,Hwang Eun Jung,"['Wife Scandal', 'Unemployed Romance', 'The Empress', 'Ang Shim Jung']"
315,Hwang Eun Soo,"['Babysitter', 'Five Fingers', 'A Gentleman’s Dignity', 'Still You']"
316,Hwang Geum Hee,"['TV Novel – The Stars Are Shining', 'The Spring Day of My Life', 'Ja Myung Go', 'Yi San', 'Bad Couple', 'Snow Flower', 'Yeon Gaesomun', 'Shin Don']"
317,Hwang Hyo Eun,"['Gangnam Scandal', 'My Only One', 'Woman of Dignity', 'Principal Investigator – Save Wang Jo Hyun!', 'Good For You', 'Still You', 'Queen Insoo', 'Mischievous Kiss', 'I Live Without Incident', 'Oh! My Lady', 'Obstetrics and Gynecology Doctors', 'Assorted Gems', 'Style', 'Queen of Housewives', 'Before and After: Plastic Surgery Clinic', 'Get Karl! Oh Soo Jung']"
318,Hwang In Young,"['Moorim School', 'Jingbirok', 'Love & Secret', 'Childless Comfort', 'Can’t Live without You', 'Just Like Today', 'Typically Women', 'Obstetrics and Gynecology Doctors', 'Yeon Gae Somun', 'Punch', 'Trio']"
319,Hwang Ji Hyun,"['Ripley', 'Green Coach', '9 End 2 Outs', 'Witch Amusement', 'Please Come Back, Soon-Ae']"
320,Hwang Ji Ni,"['Shine or Go Crazy', 'Good For You']"
321,Hwang Jung Eum,"['Handsome Guy and Jung Eum', 'Lucky Romance', 'She Was Pretty', 'Kill Me, Heal Me', 'Endless Love', 'Secret', 'Potato Star 2013QR3', 'Incarnation of Money', 'Full House Take 2', 'Golden Time', 'Can You Hear My Heart', 'Giant', 'High Kick Through The Roof', 'East of Eden', 'Little Mom Scandal', 'Last Scandal', 'Winter Bird', 'The Person I Love', '2015 MBC Drama Award', '2015 MBC Drama Award', '2015 MBC Drama Award', '2015 MBC Drama Award', '2014 SBS Drama Award', '2014 SBS Drama Award', '2013 KBS Drama Award', '2013 KBS Drama Award', '2013 KBS Drama Award', '2011 MBC Drama Award']"
322,Hwang Jung Min,"['Korean Peninsula', 'That Fool']"
323,Hwang Mi Sun,"['Seven Day Queen', 'I’m Sorry Kang Nam Goo', 'The Dirge Singer', 'TV Novel – Eun Hee', 'The True Colors', 'Dream High Season 2', 'King of Baking, Kim Tak Goo', 'The Miracle of Love', 'Life Special Investigation Team', 'The Vineyard Man']"
324,Hwang Seung Eon,"['Touch Your Heart', 'Time', 'Temporary Idols', 'I’m Not a Robot', 'Man Who Dies to Live', 'Love for a Thousand More', 'Signal', 'Madame Antoine', 'Let’s Eat 2', 'Heart to Heart', 'Swedish Laundry', 'Bad Guys', 'God’s Quiz 4', 'Golden Fish']"
325,Hwang Shin Hye,"['Lee Jin Y', 'The Legend of the Blue Sea', 'Producer', 'Passionate Love', 'Shut Up Family', 'Bachelor’s Vegetable Store', 'My Happy Home', 'The Queen Returns', 'Match Made in Heaven']"
326,Hwang So Hee,"['Twelve Nights', 'Introverted Boss', 'Best Couple', 'My Secret Hotel']"
327,Hwang Soo Jung,"['For the Sake of Son', 'Salt Doll']"
328,Hwang Suk Jung,"['Bad Detective', 'Miss Ma, Nemesis', 'Your Honor', 'The Miracle We Met', 'Because This Is My First Life', 'Temperature of Love', 'Strong Family 2017', 'Rebel: Thief Who Stole the People', 'Ruby Ruby Love', 'Goblin', 'W', 'Neighborhood Lawyer Jo Deul Ho', 'Cheese in the Trap', 'She Was Pretty', 'Save the Family', 'The Time We Were Not In Love', 'Mask', 'Let’s Eat 2', 'Falling for Innocence', 'Seonam Girls High School Investigators', 'The Legendary Witch', 'Misaeng', 'Discovery of Romance', 'Wonderful Days', 'The Night Watchman', 'Secret Love', 'The Queen of Office', 'For the Sake of Son', '9 End 2 Outs', '2015 MBC Drama Award']"
329,Hwang Sun Hee ,"['My Healing Love', 'Lovely Horribly', 'One More Happy Ending', 'Masked Prosecutor', 'Melody of Love', 'The Master’s Sun', 'A Hundred Year’s Inheritance', 'TV Novel – Dear Love', 'Wild Romance', 'City Hunte', 'Sig', 'It’s Okay, Daddy’s Gir']"
330,Hwang Woo Seul Hye,"['Smashing on Your Back', 'Drinking Solo', 'The Great Wives', 'Glorious Day', 'Sleeping Witch', 'I Need a Fairy', 'Believe in Love', 'Our Slightly Risque Relationship']"
331,Hwang Young Hee,"['Mung Bean Flower', 'Praise of Death', 'The Last Empress', 'Mama Fairy and the Woodcutter', 'My Healing Love', 'Rich Man', 'Mystery Queen 2', 'The Reason Why We Can’t Sleep', 'The Package', 'Revolutionary Love', 'While You Were Sleeping', 'My Man’s Secret', 'Unni is Alive', 'Defendant', 'Romance Full of Life', 'Chief Kim', 'Shopping King Louie', 'Wanted', 'Go Ho, The Starry Night', 'Page Turner', 'Time of Miracle: Loss Time', 'My Son-In-Law’s Woman', 'My Daughter, Geum Sa Wol', 'Divorce Lawyer in Love', 'Hwajung', 'Swedish Laundry', 'Mr. Back', 'Jung Do Jun', 'Come! Jang Bo Ri', 'King’s Daughter Soo Baek Hyang', 'The Strange Cohabitation', 'Horse Doctor', 'Fermentation Family', 'Guardian Angel Kim Young Goo', 'Can You Hear My Heart', 'My Princess', 'Three Men', 'Beethoven Virus']"
332,Hyang Suk,"['Somehow 18', 'Ready for Start']"
333,Hyeri,"['Two Cops', 'Entertainer', 'Reply 1988', 'Hyde, Jekyll and I', 'Seonam Girls High School Investigators', 'Tasty Life', '2016 SBS Drama Award', '2016 tvN10 Award']"
334,Hye Jung,"['AO', 'Romance Is a Bonus Book', 'Good Witch', 'The Blade and Petal', 'Cheongdamdong Alice', 'A Gentleman’s Dignity']"
335,Hyo Min,"['T-ar', 'The Thousandth Man', 'Gye Baek', 'My Girlfriend is a Nine-Tailed Fox', '2011 MBC Drama Award']"
336,Hyo Rin,['Dream High Season 2']
337,Hyun Jyu Ni,"['Bravo My Life', 'Descendants of the Sun', 'Angel Eyes', 'Ohlala Couple', 'I Am Legend', 'IRIS', 'Beethoven Virus']"
338,Hyun Seung Min,"['W', 'Hwajung', 'Hyde, Jekyll and I', 'The Spring Day of My Life', 'Empress Ki', 'Sword and Flower', 'TV Novel – Sam Saeng', 'The Ugly Duckling', 'It Was Love', 'May Queen']"
339,Hyun Young,"['Producer', 'Sweden Laundry', 'Baby-faced Beauty', 'Obstetrics and Gynecology Doctors', 'Bad Family', 'The Secret Lovers', 'Hello Franceska 3', 'Fashion 70’s', 'Hello My Teacher']"
340,Hyunyoung (Rainbow),"['Rainbo', 'Justice Team', 'Rude Miss Young Ae 14', 'Boarding House No. 24']"
341,Im Chae Won,"['Choi Seung Kyun', 'Home for Summer', 'TV Novel – My Mind’s Flower Rain', 'Save the Family', 'Horse Doctor', 'The Duo', 'I Can’t Stop', 'My Love', 'Dae Jo Yeong']"
342,Im Do Yun,"['Backflow', 'My Secret Romance', 'Something About 1%', 'Master: God of Noodles', 'Eve’s Love', 'Funny Woman', 'Eve’s Love', 'Pinocchio', 'Plus Nine Boys', 'Come! Jang Bo Ri']"
343,Im Eun Hye,"['Panda and Hedgehog', 'My Daughter the Flower', 'It’s Okay, Daddy’s Girl']"
344,Im Eun Kyung,['Bodyguard']
345,Im Hwa Young,"['Trap', 'Sketch', 'Wise Prison Life', 'You’re Closer Than I Think', 'Chief Kim', 'Signal', 'Yong Pal', 'God’s Quiz']"
346,Im Hye Young,['Oh My Geum Bi']
347,Im Ji Eun,"['Blessing of the Sea', 'You Are a Gift', 'TV Novel – My Mind’s Flower Rain', 'Remember You', 'The King’s Face', 'Make a Wish', 'The Dirge Singer', 'Cunning Single Lady', 'Sincerity Moves Heaven', 'Big', 'I’ll Give You The Stars and The Moon', 'Brain', 'President', 'Three Sisters', 'God of Study', 'White Lies', 'The Painter of the Wind', 'Outrageous Women', 'Love Hymn', 'A Problem at My Younger Brother’s House']"
348,Im Ji Hyun,"['My Fellow Citizens', 'My Only One', 'Suits', 'Bride of the Water God', 'Woman with a Suitcase', 'Strange Family', 'She Was Pretty', 'Second Time Twenty Years Old', 'Fated to Love You', 'Wild Chives and Soy Bean Soup: 12 Years Reunion']"
349,Im Ji Yun,"['Blow Breeze', 'Doctors', 'Jackpot', 'High Society', '2016 MBC Drama Award', '2015 SBS Drama Award']"
350,Im Joo Eun,"['Bad Thief, Good Thief', 'Uncontrollably Fond', 'Endless Love', 'Empress Ki', 'The Heirs', 'Arang and the Magistrate', 'Wild Romance', 'What’s Up?', 'Soul', 'Me Ri, Dae Gu’s Attack and Defense Battle']"
351,Im Jung Eun,"['Babel', 'Ruby’s Ring', 'The Equator Man', 'When Women Powder Twice', 'Sungkyunkwan Scandal', 'Secret Investigation Record', 'Swallow the Sun', 'The Kingdom of The Winds', 'Aquarius', 'Cloud Stairs', 'East of Eden', 'Lawyers']"
352,Im Se Mi,"['Terius Behind Me', 'Mr. Sunshine', 'About Time', 'Two Cops', 'The Reason Why We Can’t Sleep', 'Perfect Wife', 'Shopping King Louie', 'Goodbye Mr. Black', 'I Love You From Today', 'Only Love', 'Lump in my life', 'King’s Daughter Soo Baek Hyang', 'Yeon Woo’s Summer', 'Two Weeks', 'That Winter, The Wind Blows', 'Hooray for Love', 'You’ve Fallen for Me', 'Pure Pumpkin Flower', '2016 MBC Drama Award']"
353,Im Seo Yeon,"['Rude Miss Young-Ae 11', 'Rude Miss Young-Ae 10', 'Rude Miss Young-Ae 9', 'Gumiho: Tale of the Fox’s Child', 'Three Brothers', 'Seoul’s Sad Song', 'Land']"
354,Im Shi Eun,['Your Neighbor’s Wife']
355,Im Soo Hyang,"['My ID Is Gangnam Beauty', 'Criminal Minds', 'Lovers in Bloom', 'Blow Breeze', 'Five Children', 'Inspiring Generation', 'IRIS 2', 'I Do, I Do', 'Paradise Ranch', 'New Tales of Gisaeng', '2017 KBS Drama Award', '2011 SBS Drama Award']"
356,Im Soo Hyun,"['The King’s Face', 'I Need Romance 3', 'Sincerity Moves Heaven']"
357,Im Soo Jung,"['Chicago Typewriter', 'Sorry I Love You']"
358,Im Sung Min,"['Save the Family', 'Potato Star 2013QR3', 'My Love, Madame Butterfly', 'A Wife’s Credentials', 'Dong Yi', 'Aeja’s Older Sister, Minja', 'Catch a Kang Nam Mother', 'Crazy for You', 'Surgeon Bong Dal Hee', 'Snowman']"
359,Im Sung Uhn,"['My Wife’s Having an Affair this Week', 'Awl', 'Orange Marmalade', 'Remember You', 'Falling for Innocence', 'Bad Guys', 'Cheongdamdong Scandal', 'Take Care Of Us, Captain', 'Innocent You', 'White Tower', 'Yeon Gae Somun', 'Punch']"
360,Im Yae Won,"['Im Dong Ji', 'When Women Powder Twice', 'Innocent You', 'Landscape in My Heart', 'Dae Jo Yeong', 'Golden Apple']"
361,Im Ye Jin,"['My Only One', 'A Korean Odyssey', 'The Best Hit', 'Radiant Office', 'The Liar and His Lover', 'Yeah, That’s How It Is', 'Splash Splash Love', 'Producer', 'Rosy Lovers', 'Marriage Without Dating', 'Could We Love ?', 'Miss Korea', 'Princess Aurora', '7th Grade Civil Servant', 'Childless Comfort', 'Immortal Classic', 'Indomitable Daughters-in-Law', 'Romance Town', 'Sweet Palpitations', 'My Princess', 'Smile, Mom', 'You Don’t Know Women', 'Life is Beautiful', 'Enjoy Life', 'Queen Seon Duk', 'The Road Home', 'Boys Before Flowers', 'The Lawyers of The Great Republic Korea', 'Little Mom Scandal', 'Winter Bird', 'What’s Up Fox?', 'What Star Did You Come From', 'Goong', 'Ireland', 'Full House', 'People of the Water Flower Village']"
362,Im Yoon Ah,"['SNS', 'The King Loves', 'The K2', 'Because It’s the First Time', 'Chinese Hero Zhao Zi Long', 'The Prime Minister and I', 'Love Rain', 'Cinderella Man', 'You Are My Destiny', 'Woman of Matchless Beauty, Park Jung Kum', 'Unstoppable Marriage', '9 End 2 Outs', '1st The Seoul Award', '2013 KBS Drama Award', '2013 KBS Drama Award', '2012 KBS Drama Award']"
363,Im Yoon Jung,"['Love Frequency 37.2', 'SOS Save Me', 'Sungkyunkwan Scandal']"
364,InA,['Risky Romance']
365,Ivy,"['Borg Mom', 'Monstar', 'Tokyo Shower', 'High Kick!']"
366,Jang Ah Young,"['Bride of the Century', 'Protect the Boss', 'Mischievous Kiss', 'Take Care of the Young Lady', 'Hong Gil Dong', 'Sharp 3', 'Special of My Life', 'Our Attitude to Prepare Parting', 'Spring Day']"
367,Jang Da Yun,"['Our Gap Soon', 'Three Brothers', 'First Wives Club']"
368,Jang Do Yun,"['Smashing on Your Back', 'Radiant Office', 'Rude Miss Young Ae', 'Sweet Stranger and Me', 'Drinking Solo']"
369,Jang Eun Ah,"['Mother’s Garden', 'Marry Him If You Dare', 'Korean Peninsula']"
370,Jang Hee Jin,"['Babel', 'Such a Long Farewell', 'You Are Too Much', 'On the Way to the Airport', 'Mirror of the Witch', 'The Village: Achiara’s Secret', 'Scholar Who Walks the Night', 'The Three Female Runaways', 'The Woman Who Married Three Times', 'My Daughter Seo Yeong', 'Big', 'What’s Up?', 'Myung Wol the Spy', 'Hometown Legends', 'Tae Hee, Hye Kyo, Ji Hyun', 'Seoul Warrior Story', 'Hello My Teacher', 'Land', '2017 MBC Drama Award']"
371,Jang Hee Jung,"['Mistress', 'Late Night Restaurant']"
372,Jang Hee Ryung,"['Priest', 'Wok of Love', 'The Package', '20th Century Boy and Girl', 'The Boy Next Door', 'Individualist Ms. Ji Young', 'Romance Full of Life', 'Uncontrollably Fond', 'Falling For Challenges', 'Dream Knight']"
373,Jang Hee Soo,"['Lookout', 'Missing Nine', 'Always Spring', 'My Little Baby', 'The Time We Were Not In Love', 'Mom', 'Bird That Doesn’t Cry', 'The Superman Age', 'Gap Dong', 'Basketball', 'I Hear Your Voice', 'Good For You', 'An Angel’s Choice', 'The Moon Embracing The Sun', 'Dream High', 'I Am Legend', 'Cinderella’s Stepsister', 'That Fool', 'The Iron Empress', 'Capital Scandal']"
374,Jang Ja Yun,"['Choi Jin Shi', 'Ahn Jae Hwa', 'Boys Before Flowers', 'My Lovely Fool']"
375,Jang Ji Eun,"['Ex-Girlfriend Club', 'Gu Am Heo Joon', 'Ugly Cake', 'Tree With Deep Roots', 'Ja Myung Go']"
376,Jang Jin Young,['Lobbyist']
377,Jang Joon Yoo,"['One More Happy Ending', 'Illegal Parking', 'Wonderful Days', 'Could We Love ?', 'Oh Ja Ryong is Coming', 'Glass Mask', 'A Gentleman’s Dignity', 'Bridal Mask']"
378,Jang Jung Hee,"['Gangnam Scandal', 'Sweet Enemy', 'My Son-In-Law’s Woman', 'Mother’s Garden', 'Jeon Woo Chi', 'Please Marry Me', 'Stars Falling From the Sky', 'The Man Who Can’t Get Married', 'Cinderella Man', 'One Mom and Three Dads', 'Catch a Kang Nam Mother', 'Me Ri, Dae Gu’s Attack and Defense Battle', 'The Snow Queen', 'The Vineyard Man', 'As the River Flows', 'Golden Apple']"
379,Jang Kyung Ah,"['The End of the World', 'Tree With Deep Roots', 'Rock Rock Rock', 'Tamra, the Island']"
380,Jang Liu,['My Wife’s Having an Affair this Week']
381,Jang Mi Hee,"['Shall We Live Together', 'Black Knight', 'Madame Antoine', 'Unkind Women', 'Rosy Lovers', 'Cheongdamdong Scandal', 'Noble Woman', 'The Firstborn', 'Oh Ja Ryong is Coming', 'Fashion King', 'Life is Beautiful', 'Mom Has Grown Horns', 'That Summer Typhoon', 'Prince’s First Love', 'A Problem At My Younger Brother’s House', '2018 KBS Drama Award', '2018 KBS Drama Award']"
382,Jang Mi In Ae,"['Missing You @ I Miss You', 'TV Novel Bok Hee', 'Blissful Woman', 'Soulmate', 'Super Rookie']"
383,Jang Nara,"['Jang Sung Wo', 'The Last Empress', 'Go Back Couple', 'One More Happy Ending', 'Remember You', 'Mr. Back', 'Fated to Love You', 'School 2013', 'Baby-faced Beauty', 'Wedding', 'Love Is All Around', 'My Love Patzzi', 'Successful Story of a Bright Girl', '2018 SBS Drama Award', '2017 KBS Drama Award', '2017 KBS Drama Award', '2014 MBC Drama Award', '2014 MBC Drama Award', '2014 MBC Drama Award', '2012 KBS Drama Award', '2011 KBS Drama Award']"
384,Jang Seo Hee (1972),"['Unni is Alive', 'Mom', 'Cuckoo Nest', 'Sui Tang Ying Xiong', 'OB/GYN Doctors', 'Temptation of Wife', 'Love Hymn', '2017 SBS Drama Award']"
385,Jang Seo Hee (2006),"['One More Happy Ending', 'Hidden Identity', 'TV Novel – The Stars Are Shining', 'Modern Farmer', 'Mother’s Garden', 'TV Novel: Samsaengi', 'Hundred Year Inheritance']"
386,Jang Seo Kyung,"['Sketch', 'Saimdang, Light’s Diary', 'Mrs. Cop 2', 'Yong Pal']"
387,Jang Shin Young,"['Kang Kyung Joo', 'Babel', 'Suits', 'Bad Guys: City of Evil', 'Radiant Office', 'My Heart Twinkle Twinkle', 'The Spring Day of My Life', 'Empire of Gold', 'Thorn Flower', 'The Chaser', 'Bride of the Sun', 'The Empress', 'Perfect Spy', 'I Am Legend', 'The Road Home', 'Winter Bird', 'Next', 'Desert Spring', 'Pretty Woman', '2017 MBC Drama Award', '2012 SBS Drama Award']"
388,Jang So Yun,"['The Secret Life of My Secretary', 'Touch Your Heart', 'Heart Surgeons', 'Big Forest', 'Something in the Rain', 'While You Were Sleeping', 'Irish Uppercut', 'Father is Strange', 'Entourage', 'Neighborhood Lawyer Jo Deul Ho', 'The Village: Achiara’s Secret', 'Heard It Through the Grapevine', 'Secret Love Affair', 'A Wife’s Credentials', 'White Tower', '6th APAN Star Award']"
389,Jang Som Yi,"['Return', 'TV Novel – That Sun in the Sky']"
390,Jang Ye Seul,['Good For You']
391,Jang Yoon Seo,"['Crazy Love', 'Take Care of Us, Captain', 'The Woman from Olle Road', 'Yaksha', 'The Fugitive : Plan B', 'Take Care of the Young Lady', 'Swallow the Sun']"
392,Jang Young Nam,"['The Crowned Clown', 'The Smile Has Left Your Eyes', 'Lovely Horribly', 'The King Loves', 'My Sassy Girl', 'Weightlifting Fairy Kim Bok Joo', 'I’ve Got My Eye On You', 'Glamorous Temptation', 'Snowy Road', 'Flower of the Queen', 'Miss Mamma Mia', 'Ho Goo’s Love', 'Persevere, Goo Hae Ra', 'Modern Farmer', 'Pinocchio', 'Goddess of Marriage', 'Jang Ok Jung', '7th Grade Civil Servant', 'Horse Doctor', 'The Birth of a Family', 'Time Slip Dr. Jin', 'I Love Lee Tae Ri', 'The Moon That Embraces the Sun', 'Vampire Prosecutor', 'Man of Honor', 'Dae Mul', 'I Am Legend', 'Hero', 'I Love You, Don’t Cry', 'Chosun Police 2', 'Love Marriage', 'Women of the Sun', 'Bittersweet Life', 'One Mom and Three Dads', 'Dal Ja’s Spring', '2013 SBS Drama Award']"
393,Jang Young Ran,['Hello! Miss']
394,Jei,"['Vampire Detective', 'Surplus Princess']"
395,Jeon Hye Bin,"['What’s Wrong, Poong Sang', 'The Beauty Inside', 'Life on Mars', 'Number Woman Gye Sook Ja', 'Falsify', 'Noodle Shop Woman', 'Woman with a Suitcase', 'Another Miss Oh', 'Healer', 'Joseon Gunman', 'Taste of Curry', 'The Queen of Office', 'Queen Insoo', 'My Love By My Side', 'Yaksha', 'The Angel of Death Comes With Purple High Heels', 'Hometown Legends', 'The Man Who Can’t Get Married', 'The Scale of Providence', 'You Are Very Good', 'On Air', 'The King and I', 'Witch Amusement', 'Only You', 'Prince’s First Love', 'Sang Doo, Let’s Go To School']"
396,Jeon Ji Hyun,"['The Legend of the Blue Sea', 'You Who Came From the Stars', '2016 SBS Drama Award', '2016 SBS Drama Award', '2016 SBS Drama Award', '2014 SBS Drama Award', '2014 SBS Drama Award', '2014 SBS Drama Award']"
397,Jeon So Nee,['Encounter']
398,Jeon Yeong Mi,['Strong Family 2017']
399,Jessica Jung,"['Krystal Jun', 'SNS', 'Wild Romance', 'Oh! My Lady', 'Tae Hee, Hye Kyo, Ji Hyun', 'Unstoppable Marriage']"
400,Ji Ha Yoon,"['Please Come Back, Mister', 'Bubblegum', 'Second Time Twenty Years Old', 'School 2015: Who Are You?']"
401,Ji Joo Yun,"['Only You, My Love', 'Endless Love', 'Hometown Legends', 'Everybody Cha Cha Cha', 'Partner']"
402,Ji Seo Yoon,"['The King’s Face', 'Bridal Mask']"
403,Ji So Yun,"['Neighborhood Hero', 'Ex-Girlfriend Club', 'Shining Romance']"
404,Ji Soo Won,"['The Sound of Your Heart: Reboot 2', 'The Sound of Your Heart: Reboot 1', 'Sunny Again Tomorrow', 'Black', 'Ice Binggoo', 'Golden Pouch', 'Happy Home', 'Sweet, Savage Family', 'Strange Fairy Tale', 'Shine or Go Crazy', 'Trot Lovers', 'Cuckoo Nest', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Golden Rainbow', 'Smile, Mom', 'Can Anyone Love', 'Looking For Dorothy', 'One Million Roses']"
405,Ji Woo,"['My First First Love', 'Age of Youth 2', 'The Universe’s Star', 'You’re All Surrounded', 'Inspiring Generation', 'Pure Love', 'War of the Roses', 'Pure Pumpkin Flower']"
406,Ji Yi Soo,"['My Fellow Citizens', 'Solomon’s Perjury', 'Woman with a Suitcase', 'Doctors', 'Strange Famil', 'Dear My Friends', 'Unkind Women']"
407,Ji Yoo,"['Magic Hanja', 'Jang Ok Jung', 'Color of Women', 'Warrior Baek Dong Soo', 'You Don’t Know Women', 'Giant', 'Obstetrics and Gynecology Doctors', 'Smile, You', 'Ja Myung Go', 'Working Mom']"
408,Ji Yool,"['Bravo My Life', 'Wednesday 3:30 PM', 'Fantasy Tower', 'Dream High']"
409,Jin Bo Ra,['Secret Love Affair']
410,Jin Hee Kyung,"['Doctor Prisoner', 'Suits', 'Third-Rate My Way', 'Suspicious Partner', 'Mom', 'Heart to Heart', 'House Maids', 'Surplus Princess', 'The Firstborn', 'Poseidon', 'The Book of Three Han', 'Sad Love Song']"
411,Jin Hye Won,['She Was Pretty']
412,Jin Jae Young,"['Entourage', 'My Sweet City', 'Prince’s First Love']"
413,Jin Ji Hee,"['100 Days My Prince', 'Unni is Alive', 'Baek Hee Has Returned', 'Seonam Girls High School Investigators', 'Could We Love ?', 'Jung Yi, The Goddess of Fire', 'The Moon That Embraces the Sun', 'Queen Insoo', 'Birdie Buddy', 'High Kick Through The Roof', 'Hometown Legends', 'Ja Myung Go', 'East of Eden', 'Great Inheritance', 'Alone in Love', 'Seoul 1945', 'Prince’s First Love', 'Yellow Handkerchief']"
414,Jin Ki Joo,"['The Secret Life of My Secretary', 'Come and Hug Me', 'Misty', 'Wednesday 3:30 PM', 'Ruler: Master of the Mask', 'Moon Lovers – Scarlet Heart: Ryeo', 'One More Happy Ending', 'Splash Splash Love', 'Second Time Twenty Years Old']"
415,Jin Kyung,"['My Only One', 'Untouchable', 'Romantic Doctor, Teacher Kim', 'Woman with a Suitcase', 'Uncontrollably Fond', 'Go Ho, The Starry Night', 'Neighborhood Hero', 'Oh My Venus', 'The Time We Were Not In Love', 'Blood', 'Pinocchio', 'Tears of Heaven', 'It’s Okay, That’s Love', 'Wonderful Days', 'Outlasting Happiness', 'Basketball', 'Good Doctor', 'The Queen’s Classroom', 'Gu Family Book', 'Cheer Up, Mr. Kim!', 'Nice Guy', 'Ghost', 'You Who Rolled In Unexpectedly', 'War of the Roses', '2018 KBS Drama Award', '2014 SBS Drama Award']"
416,Jin Se Yun,"['Item', 'Grand Prince', 'The Flower in Prison', 'High-End Crush', 'Doctor Stranger', 'Inspiring Generation', 'Five Fingers', 'Bridal Mask', 'My Daughter The Flower', 'Daughters of Bilitis Club', 'The Duo', 'It’s Okay, Daddy’s Girl', '2016 MBC Drama Award', '2012 KBS Drama Award', '2011 SBS Drama Award', 'Ham Eun Jun', 'T-ar', 'Five Fingers', 'Hyo Mi', 'The Thousandth Ma', 'Park So Yeo', 'Lovers of Haeunda', 'Jin Se Yu']"
417,Jin Seo Yun,"['Eve’s Love', 'Shine or Go Crazy', 'Make a Wish', 'Passionate Love', 'Empire of Gold', 'Manny', 'More Charming by the Day', 'Hometown Legends', 'New Heart']"
418,Jin Ye Sol,"['It’s My Life', 'Handsome Guy and Jung Eum', 'Eulachacha Waikiki', 'Return of Lucky Pot', 'Rebel: Thief Who Stole the People', 'Good Person', 'You Are a Gift', 'Monster', 'The Great Wives', 'Birth of a Beauty', 'Her Legend', 'Nine: 9 Times Time Travel', 'Can We Get Married ?', 'It Was Love', 'Queen In Hyun’s Man', 'Can Love Become Money', '49 Days', 'New Tales of Gisaeng', 'Pure Pumpkin Flower', 'Obstetrics and Gynecology Doctors', 'Loving You a Thousand Times', 'Temptation of an Angel']"
419,Jo Ah In,"['Should We Kiss First', 'Avengers Social Club', 'Girls’ Generation 1979', 'Dal Soon’s Spring', 'Person Who Gives Happiness', 'Beautiful Mind', 'Mrs. Cop 2']"
420,Jo Ah Ra,"['Madam Cha Dal Rae’s Love', 'Suspicious Partner', 'Romantic Doctor, Teacher Kim', 'Bad Couple']"
421,Jo An,"['Blessing of the Sea', 'Best Couple', 'Mama – Nothing to Fear', 'Shining Romance', 'Special Affairs Team TEN 2', 'Special Affairs Team TEN', 'King Gwanggaeto the Great', 'Secret Investigation Record', 'Three Sisters', 'Everybody Cha Cha Cha', 'Seoul 1945', 'Land', 'First Love']"
422,Jo Bo Ah,"['My Strange Hero', 'Goodbye to Goodbye', 'Let Us Meet, Joo Oh', 'Temperature of Love', 'Sweet Stranger and Me', 'Monster', 'Love Cells 2', 'All About My Mom', 'Missing Noir M', 'Surplus Princess', 'Horse Doctor', 'Shut Up Flower Boy Band', '2018 MBC Drama Award', '2nd The Seoul Award', '6th APAN Star Award', '2016 MBC Drama Award', '2015 KBS Drama Award']"
